date,return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
6/28/2019,-0.332711474,105.1347871,5.752761045,193.5816748,1.57050485,4.648269722
7/31/2019,5.600515383,114.5227703,-2.883367665,195.115977,1.813906145,5.437192096
8/30/2019,0.657201242,112.2019386,11.20544805,195.2904491,1.851402995,-0.506064877
9/30/2019,3.384539088,129.7810132,-1.60088379,194.8245656,1.888262457,7.859301496
10/31/2019,4.407721977,125.4301934,-0.539820173,194.3379634,2.128494141,1.102026291
11/29/2019,4.182122404,130.5929747,-5.114414033,194.4873891,2.097087668,-0.070721183
12/31/2019,2.783959179,91.53623407,-17.03160185,194.2172886,2.002544458,-3.673358933
1/31/2020,-0.027444447,105.9251034,-18.4804953,194.7508076,1.945180759,-13.21496102
2/28/2020,-2.062124562,135.1558107,-20.30041076,197.9043667,1.614877167,-16.97605693
3/31/2020,-2.607530931,61.84937708,22.369664,200.7394338,1.234123583,-19.35059538
4/30/2020,4.879759093,105.7869591,21.01666949,205.9514021,0.937932721,10.44958989
5/29/2020,4.802808739,123.8787763,9.029875667,210.0418687,1.066556336,17.99750389
6/30/2020,0.061955934,84.52791016,19.41730699,214.6001709,1.327000263,11.59205516
7/31/2020,2.683914086,122.0701936,24.78862323,205.6913683,1.082482946,17.18152075
8/31/2020,4.160389487,122.4586977,-13.68595274,209.528311,1.266751718,22.61516538
9/30/2020,-2.894237515,169.8316813,-5.984821157,215.1202974,1.44134423,-3.314204709
10/30/2020,-2.18361967,150.6790851,28.96737578,215.5636811,1.426021777,-5.221787886
11/30/2020,5.636532973,144.0250621,-6.2998025,213.7650119,1.171502894,19.1990433
