date,return_forecast,rol_var_res,observe_return,rolling_var,rol_avg,ewm
12/31/2014,5.026456267,35.94443725,-18.77829344,100.8711169,2.184058178,6.283946354
1/30/2015,2.95766281,159.4324094,18.17803586,101.1649511,2.27866521,-11.6176535
2/27/2015,2.378680894,132.3864299,-2.70565995,106.5873935,2.043936542,9.664981757
3/31/2015,3.110923632,85.15448024,10.09253845,109.7374057,2.27116199,0.828809109
4/30/2015,1.818277465,17.26742166,2.494135908,109.9813941,2.237341241,7.44575864
5/29/2015,5.724121001,40.95279953,12.80786672,110.6742089,2.363497972,3.90888526
6/30/2015,2.724283299,42.94328094,-6.207860588,110.6036237,2.39467467,10.26530059
7/31/2015,0.416281357,43.17921287,-11.28004378,111.8617435,2.554773004,-1.501243109
8/31/2015,-3.656151872,36.24437899,-21.85588415,112.733933,2.477174747,-8.48610073
9/30/2015,-0.665759418,79.36210133,15.99080376,115.0031102,2.3361742,-18.03594603
10/30/2015,3.880308033,83.64118194,10.52009359,122.1759475,2.062975648,6.268875248
11/30/2015,2.90940429,51.07154722,-16.7623809,124.5076,2.262860695,9.305459781
12/31/2015,3.258774422,31.51194571,-31.60428891,125.2785744,2.394361865,-9.314426422
1/29/2016,-1.415666269,283.2920557,7.501992502,129.7502695,2.184832104,-25.23575677
2/29/2016,2.522048656,68.19544909,17.3760297,143.8058423,1.789778492,-1.851650148
3/31/2016,4.250927846,72.58127897,5.828779601,144.1648746,1.883553398,11.88240689
4/29/2016,1.737467626,51.85586597,-7.501261156,147.0735617,2.10075377,7.558387397
5/31/2016,0.47464523,45.20008316,-10.62622596,147.1868157,2.173613515,-3.198504427
6/30/2016,0.209009652,65.05765526,25.00383466,148.2890063,2.07984775,-8.50401981
7/29/2016,7.081175898,29.07408705,11.05498037,150.2353448,1.947019926,15.43016196
8/31/2016,4.323359322,49.73281863,0.852324908,156.6707102,2.271393803,12.30503225
9/30/2016,-1.146590975,73.18785568,-20.05653065,155.0187566,2.20051895,4.124527005
10/31/2016,1.025897751,47.17310502,43.26088037,151.6562852,2.388298226,-13.14765704
11/30/2016,4.315109413,38.83970111,1.758193953,157.2088975,2.020472385,27.1441554
12/30/2016,-1.512634021,53.37896278,1.386083233,177.0960095,2.412547034,9.011325795
1/31/2017,-3.740397275,50.64555961,-2.155500647,176.8636887,2.458629651,3.564723965
2/28/2017,4.666936615,43.01513015,5.311809583,173.2757319,2.656270046,-0.521150758
3/31/2017,1.294020714,26.12876513,9.439679614,172.0851717,2.731873536,3.645249485
4/28/2017,6.070456645,46.16861519,-10.11570679,171.8113478,2.697429558,7.784128149
5/31/2017,-1.130538201,79.97822589,13.1951282,169.350523,2.973822749,-5.001468238
