date,excess_log_return,RF,log_Mkt-RF,baspread,log_Mkt-RF^2,size,rev1,rev3,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag3,cash,chinv,sp,chcshoq,invest,roaq,roavol,O-score,disp,beta,max,bm,depr,acc,oa,ol,noa,saleinv,pchsaleinv,sfe,first_lag_excess_return
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,-0.0888244366909033,5.705513368836164,0.1793705550942911,9.85910907326354,0.0024811913214759,168.14505579529023,2.156384551541971,0.1937714720747266,1.0122332358876471,1.4494156533289388,5.322323986282525,5.860661897576072,-0.0217793505243295,54.06746918249362,0.0389074560266766,0.0,0.2894551604342485,0.0,-31.949027657704956,8.849739778699481,0.0,0.0,-12.435942869690695,6.320421331776468,-23.73545885846479,67656.52610035094,27542.83271949172,40113.693380859215,36649.59305778699,18.00225428737835,1.8365358035893216,0.0
2007-03-30,1.3151209341334706,4.995307840820117,-0.2593110381918628,14.992205970677231,0.0051152085787154,172.80540460220874,30.84082598209549,-11.205723765113143,1.3996661754763453,2.3903771161209955,2.91632027383776,6.023097412274605,-0.0223829922416042,55.56601616209975,0.0399858244355278,0.0,0.2974777692775823,0.0,-32.834534592313034,9.095021294853089,0.0,0.0,-0.3446775835397062,0.1751783177533772,-0.6578576863263805,1875.1845494398003,763.3837759684757,1111.8007734713174,1015.7889357677486,0.498954809543541,0.0509018680367308,-0.0888244366909033
2007-04-30,5.6225375006735225,94.4225906960087,1.4797660533094354,215.52817090890164,0.0099719171995395,3089.143830207648,-127.48866672411482,2.215123058655275,-31.222566076325208,-60.9369162660804,1.4888967892897385,386.1082537717156,0.226134290440612,437.98854267428806,1.1771011102189448,57.19720312283492,40.06699837746537,41.26512925575253,-7754.40049677414,357.854924901284,0.0,0.0,1040.1671921734142,68.33896735036997,-156.82300991239103,24614678.22285193,5839020.429658108,18775657.79319383,14827294.654189844,-13.368571160344851,10.37508800746173,1.3151209341334706
2007-05-31,0.3480935726297047,96.58846190156076,7.496013119019808,184.8811767717939,0.2559694304338811,3086.3415255773466,-29.781071848569137,31.334656420518325,-56.37344432244336,20.798383686209487,2.428652387345418,454.29933538288975,0.2167903175827773,433.6223341901362,84.44589340441604,88.07259831987211,40.38833029958746,41.062743521147965,-8374.030243604295,389.2498034554201,0.0,0.0,21.754485198257044,16.02026640058422,68.03339648160569,78068.43674708158,30486.99642679002,47581.440320283175,382279.2681068257,81.4711782547377,-7.4320644306303,5.6225375006735225
2007-06-29,0.1861748136070274,90.22934988080384,6.987196437901175,438.6246805799866,0.2218410616034277,3101.1907963033614,93.50038786085788,-126.99015777833276,17.366098634764153,105.89763240707587,-61.17455653295833,402.8028121719529,-0.0429453124743547,322.98608196886903,2.282211142300804,91.89429177024914,27.53000249555657,41.104832693472176,-12774.547777669351,342.4422032318628,0.0,0.0,6.256969133972234,-17.802171690993447,20.255076545734667,-115241.08450041711,-132765.92467792053,17524.840177509934,-311899.1199466605,-86.60381619131473,15.939029156851136,0.3480935726297047
2007-07-31,-7.950653115370744,88.07056095559986,-4.342530479696156,352.94771700320246,0.0856475569701154,3104.199858610656,21.627550047774555,-30.849267201440178,-2.591472682961216,98.55726802355228,20.918728262253577,403.010320969443,-0.0462614263041325,320.18787939870583,2.244204659852516,83.73930198614156,25.38594695489992,37.606138688132994,-12194.994272571685,713.4837450993991,0.0,0.0,3.1858363074049976,-3.546082915506247,-9.827745404813696,-36779.27160232514,-5987.487821761519,-30791.783780567348,82820.4059747979,0.0,0.24834157263356,0.1861748136070274
2007-08-31,3.790607066654144,88.10608738273544,-8.340798338287867,528.1363208135585,0.3158415904579891,3105.61855124472,9.03106900524796,93.99579474401688,5.172784369600889,-61.25199190630344,106.0488287687211,407.85071763320826,0.0930787654382217,335.23297128734464,1.2860215295225326,90.18461966188173,33.17503496536677,37.32459725700425,-12658.303295360418,1491.4374775547392,0.0,0.0,-15.236005678888205,-1.4935745150011854,-14.279288738141986,-15204.306168094276,-17404.589057832025,2200.2828897349536,934743.6704634968,0.0,-0.3834127506571967,-7.950653115370744
