date,excess_log_return,log_Mkt-RF,rev1,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,pchquick,agr,pctacc,invest,dy,pchcurrat,pchsale_pchinvt,baspread,log_Mkt-RF^2,max,r_sq,gammaps,cash,cashdebt,gma,stdacc,ibq_adj,currat,salecash,chsaleq,sfe,disp,first_lag_excess_return
2013-08-30,-10.61214082345576,17.655581670621117,-155.02924883531165,325.4344033581564,69.61416248527611,-57.61153833293314,131.78227780935694,73.40012317888122,1253.479845366603,139.36160396599524,1170.76654246617,-6.6503580637188495,-8.895629084079172,42.57719677012823,150.99163191794335,-12845.415482337972,206.4545535884788,0.9234380481821328,-20.226261980848903,-12.907028622261803,0.0598036500107106,-28.684936160949636,-46.33935906229377,-13.939670696252987,-0.0166252123295529,-48.298605907655286,101.75340796151522,-395.3939280915884,62.20949472751056,-5.511114993348798,-28.237411313280404,17.13618633069908
2013-09-30,12.372270725352058,-8.855199952206123,265.27212356644753,304.3183110931781,-47.38374608248997,264.07082518197444,-58.004478044800805,132.6810993261931,727.4839793508777,141.420628411324,78.42461350594344,-5.464169856442317,-8.604195176401962,38.74152019103447,153.19082113613925,-152.53039984709838,-131.4178738398291,-0.7270907174956295,14.11428298393389,-25.918496724074885,0.2974367728023548,3.0058533259333444,-1.834057436232172,0.1116506104649488,-0.1248258764053735,128.00673156338007,28.02222571465154,47.92768653382063,202.3393251418587,-9.3351951134635,2.153236639107604,-10.61214082345576
2013-10-31,11.368153693125768,11.900027932458924,-156.47314115199495,144.5064624708325,-17.691421574009258,-131.4007827577535,262.8666302045562,-57.739970592752,1091.6407540878197,14.35299898523939,-4.2188263664858585,-5.3536236746597625,5.4410117461748815,32.87808205471031,27.301627291547703,0.0,-50.787039865504255,0.1970935088510671,-37.04596991115864,-58.69690552835709,-0.4060992543348751,-25.48929021463084,-64.31586202241972,-83.37011381371467,-0.0075108865359023,-1664.84490592941,-16.300513748117737,-286.22652460045447,-1170.3963946291829,0.6163524622775185,-140.36780588364903,12.372270725352058
2013-11-29,6.010308640090939,13.198155487969212,194.64982736509864,476.559457340085,-30.354549001431707,177.8340833280585,-132.024907155365,264.1151880425339,2612.2943687368997,-18.64626827105046,-31.89011211052767,-7.041603733077807,5.495985472115311,42.2626813487046,-24.08473659327985,0.0,67.16709733726304,0.1000832181246806,9.198618045274545,6.881153109544812,-0.2899574444479746,8.196710235089085,9.973242576615846,2.1899869820807254,-0.0033714527667503,-47.880138460804574,-322.051617792803,-621.6633309241734,-101.72370174650118,-2.576338723087673,8.898766502220553,11.368153693125768
2013-12-31,1.3474741739325014,9.956195685537804,176.2453064416863,310.9771247956336,10.506633916102263,197.69592960221357,178.6588880886934,-132.6372463082778,3482.877047594799,-58.55984456735903,-62.76797074086269,-7.929196895909349,5.615573419601686,46.24376267664347,-54.67592446178497,0.0,108.57579518688368,-0.2336129186077207,-14.726576638433812,-21.72670216714937,0.7776238429111508,8.351834539185347,-19.259686581877855,1.6490883245854775,0.0055025251946845,-77.55349019800497,11.814396211458188,512.1932405347907,-58.88983860298127,-10.331441331241251,337.1965342922682,6.010308640090939
2014-01-31,-23.974492671786415,8.96124228473927,101.36737330663306,506.1363349108307,38.14813378245855,149.10193967167356,198.1081827540352,179.0314435068232,4402.622869910335,-132.92152043651618,-58.25707590433818,-13.727268883692012,5.542943168775568,48.46581961470356,-131.14559456457468,0.0,-236.64134598662304,-0.0585134918963469,-13.60150444620865,-11.62862071749032,-0.5467847444051817,-21.298337635883627,0.8695097139444954,-3.964395945142442,-0.4915261144090714,1742.2265243708616,-124.34428679218172,-54.11060195135178,181.94880095272475,3.4541620229262264,216.91271548136115,1.3474741739325014
2014-02-28,9.088397895764516,-10.923553124917143,34.977013320731814,-41.58431205115109,-77.38509392507201,134.2150998610335,149.2661308728773,198.3263396778572,6014.186919031218,11.901816106636907,-2.602004807815921,-13.802418918325811,-7.720384659856879,55.86890159008394,-9.230114350354604,0.0,43.78231238069671,0.1204809313685655,4.20078724834184,11.60730047949096,0.2798785611586476,13.082322360987632,19.60836536488297,-0.8073308103185752,-0.0293384997419003,86.68320131424989,323.7877255270482,-1074.4901359789055,68.90653416799945,-1.7241659646156506,-142.01743741606106,-23.974492671786415
2014-03-31,-4.726208328644494,14.627988503966506,-349.2758403828411,-67.97579471252239,21.499413478457093,-161.86069898621568,132.85167076795656,147.74980532043335,5466.71379961833,9.658681884914891,251.7512625988501,-4.7101095496396574,-4.14594946650421,56.77013900157946,-10.930471967678857,0.0,-5.884220952130903,0.2960417435850198,-31.919888540970877,12.582731566790471,-0.4920768738232501,-23.56421875159356,-2.0473733625644144,-2.9672416623461686,-0.0533700267418577,-27.147063111884307,-46.23943927588016,499.0864293112445,56.76535684960821,-7.24307183301201,-293.65988615943706,9.088397895764516
2014-04-30,-8.875632379936203,1.3831142596765331,149.66615820136371,-219.6940710083656,96.888285374265,218.6405850374338,-162.41792588257178,133.30903024213038,5373.005615329832,84.06841558264371,300.04489351420824,-2.718859799558719,-2.8909997968267134,59.44912387411378,63.97550461361507,-494.6778161712463,-13.0863819413116,-0.6589259102860346,-4.504398124331317,37.60454254469164,1.316514742621247,-32.827046081584854,-3.1714813754151834,-2.094791782179186,0.0051139204127756,-113.90959747549422,21.55297213040785,114.34577886468196,126.0143514239724,65.37168139350342,-256.5229475202993,-4.726208328644494
2014-05-30,7.966420157105301,-0.612064242906278,-50.31685380480423,-391.4402323550376,-66.62974635059935,20.58619992875944,218.0648917265941,-161.9902700863021,3725.0411905220094,58.14036062087294,210.6473987055034,-0.4625359618279666,4.625922712791574,30.825711957350403,42.99521106824744,-208.08948288754544,37.21788437767813,-0.0047706127243635,-48.45625417499815,32.19394682518987,-0.1203839096513492,16.69402258930063,-6.672545175816296,2.139037296065723,-0.0068699220657049,-0.2191439264323662,303.6287369018055,-589.0466808753727,-176.6757954187653,10.874622117984558,0.9872033021033246,-8.875632379936203
2014-06-30,7.1354336246910375,6.552154845361714,-138.24013099584892,74.09087350758881,24.61763341131216,-9.093811224578047,20.517092571366,217.3328533484737,4001.6406795180633,57.8967570021495,65.90926082675526,-5.038471918090273,2.7666157274750858,19.13358986191337,42.82549352893413,23.384872257763124,-44.16857542043377,0.1324389277368053,-11.66269693018495,-41.59340076308968,0.667518680735494,-11.889096921545216,-8.777392882296041,-3.908290027957833,0.0515109153464687,-159.28006418329926,-13.220643876169106,-207.1704525883424,-117.19451710338302,-26.931244119509017,29.745595621878262,7.966420157105301
2014-07-31,-12.506284368856996,8.261274083827006,117.97448423540368,43.132888712421824,26.51448352745817,97.03728952246536,-9.050514120153885,20.41940737891976,3900.690261039739,284.2697343396397,133.59883971584264,-5.912669081930393,1.30042374188297,21.053350560492724,268.98774495776166,-142.77701219217386,-14.482368088090595,0.079250488197561,-38.4825209135106,-8.058369496792466,1.3289012263308115,122.76807508133136,90.55575302716318,102.345147502952,0.0008735742139334,248.53122316743455,486.3042148497152,-408.912344569595,2873.7932549312727,-32.174111740759486,-6.526385341391688,7.1354336246910375
2014-08-29,8.90632365136405,-6.615259607193881,120.68408090552036,-85.62734933902792,-79.02254016291106,122.90030516233412,97.26379819105088,-9.071640224494375,3810.918221866808,214.3478148575373,-49.42638559412419,-6.221379615299564,3.5103142764213606,27.473723294512368,209.4479676478694,-364.46201681504255,1.404607322219107,-0.0765066333455501,1.4282198524103933,21.506049751024875,-0.1490749456292923,5.802755258702518,-9.497042018648983,-8.244293340501343,-0.036422128859012,-171.4358678908748,-31.35287540069612,-2.340214855384147,-29.4548496747434,0.693492504071429,-0.9872245370138444,-12.506284368856996
2014-09-30,-16.761888928438758,13.288858675967104,-179.41490812210796,183.2005427160757,29.13379733708629,-97.75144370082486,122.1964922063594,96.7067977733241,3390.570855450693,194.6985317867416,-66.09858038496958,-2.878610087165246,-1.1216176476732356,32.95829026110572,193.7378735844948,-307.11587842612334,11.87824371419748,0.4154829701902146,-35.71930540175356,-39.4198185091002,0.5774371803889071,4.419235288895948,-0.8548986806790424,0.8509245325890618,0.0953886074296117,194.38477271845545,-56.49487801320311,59.68712312738171,81.28839295914167,18.48232184912908,-9.870046372616343,8.90632365136405
2014-10-31,13.088392563757774,-6.377992030492498,126.7470631252832,-155.68004946967255,-71.24891070409181,197.5549568347952,-98.05473519042978,122.57562886913028,3347.8194427347908,-16.961506141492887,-195.1873769198807,-2.738893785855048,3.0688934854097902,27.551623909657685,-17.974142482379467,-307.3394680161292,-1.665957106380688,-0.4249292225094493,13.576067065227562,3.1253460416126018,0.8700218434825975,-20.95029568823861,-86.16838025893928,-98.64507011257128,0.004925467353263,-2110.908360058029,24.28857812522301,-217.6341824400506,-3268.490480074154,-4.609555570122126,-39.0226923881055,-16.761888928438758
2014-11-28,6.584257826841255,7.944402203599174,-216.1648808232217,-69.18945237295526,-3.137637136479595,-93.96709268254033,196.11629530791532,-97.34066768583746,3060.044446020941,-54.89381503797362,62.34667106685392,-3.9113481518147055,3.4090526625842816,36.14017489728941,-45.88545736251352,193.87802269959747,19.8125220779539,0.0708174634140945,-24.22299637825188,-163.60648983002693,0.0367061104266284,-4.545703980511803,-1.3613848412745853,1.2242173077637517,-0.0362216194741531,279.84149816255103,-269.2064122437664,400.1820582559358,277.29188923796784,-6.061097487742387,7.9969125447331635,13.088392563757774
2014-12-31,-5.171813566671902,8.055489878412883,205.14107068285972,186.2636157596756,-38.93899661907921,118.08103757193116,-94.40058555375658,197.021027097719,3450.459973765946,-74.72825337185292,148.11350774627385,-4.852904283533903,2.9087700542708097,42.73354314713633,-59.30333877863762,187.90895372113465,77.14022979851583,0.0051216180236826,10.693260824759308,-72.24964765122377,-0.0482593963939552,-12.05574132508798,-7.0047948354795935,3.71603065615966,0.0408454525016579,-50.94028379652923,-101.8922739374584,451.7872484301824,80.81936778513717,14.74641330192074,24.354292221536014,6.584257826841255
2015-01-30,-38.44549786039048,-0.1923731571107791,78.77773522081301,-20.34489293664816,11.43403883865196,119.81695685370052,118.42474113619578,-94.67536140592271,3630.521633128477,-78.5155700338778,138.1237108805156,-4.514127350669433,2.826588429557878,44.18771236684022,-63.15624270470702,186.7938298367643,-93.2396338516939,-0.2027241814109272,10.6679612830535,-24.952184659955947,0.7362824011051758,-34.86149904445415,-2.706279506168862,-2.0746056989545,0.0256786916558739,1982.9671450196413,-2.875304033865177,43.13631237842037,243.6597041639136,1.2469130794422654,61.3867986830752,-5.171813566671902
2015-02-27,26.5886976772686,-10.11833999115864,-74.85135849939815,-355.49762125414964,-46.077842877581,-2.850503420012492,119.5916532758123,118.202055478096,5477.706371180381,17.08246074954138,213.6047628005499,-3.5767977068840286,1.0700470119018153,50.51927687606752,10.884132211319708,-98.05324446381842,-15.890699593197724,0.319562075861235,-15.48152363014367,-17.770639040027845,0.7123339560791644,31.639421056927176,3.1161488421927928,-6.120818326907809,-0.0300368628393166,-283.02918407312336,137.81439813232782,-610.3378902411114,-124.1644341866843,-31.198022784239384,89.12648982250488,-38.44549786039048
2015-03-31,-12.03707785654035,18.926860531220758,-533.0721024617013,-150.2246044672101,-51.403516600539824,-147.64880839728986,-2.804843724316651,117.6760202483269,5456.0054188860095,22.15850925042052,195.32798844812984,-2.435392128732988,3.4064082273562715,56.67562967906677,12.850793849848026,-84.76701963052426,26.638215733373528,0.8081512098759133,-0.2803207278266768,38.922309556928894,1.2753288826588212,-16.582944030184876,0.736109482569681,-3.505768767506865,0.0195942089096941,15.227473299306382,-41.09368243976269,99.8909694601416,-83.41331850491173,7.835411123721087,-1.9775244288500744,26.5886976772686
2015-04-30,10.180233035541168,-3.597039831655754,375.3053017864227,-399.89997765072985,1.9512789975875997,281.3628157229776,-149.17806620835694,-2.833894613523236,5180.732272813846,-20.650438586269075,208.30547576200195,-0.0529081003052245,1.4998142456846888,61.29061427095344,-30.0603278225421,-177.72984523483728,-6.965897880224219,-1.0873145930143229,59.63733095631295,11.878138543952446,-0.5671134668359481,14.313620755578086,29.276738664204387,13.525775542011388,0.0760970691297562,160.0628408694738,-57.67434635508653,75.67922413239557,598.2558345198106,22.77875890727364,-64.79090078174164,-12.03707785654035
2015-05-29,-0.1116857573780948,1.873029919184736,-158.9239992571522,-191.36130625853627,-31.758892764655226,-52.88956076082912,279.8163190366838,-148.35811640629757,2897.5304759480146,-54.83962724019464,96.17792831254394,3.0344541322303726,1.7524698243679528,28.50685548603819,-66.02547309550782,-385.4565415890064,31.7272961332412,-0.0294957471584061,-4.720425636037987,36.30531531955876,-0.4229337687356518,-11.998886937917518,4.4415919226610185,4.409299556834199,-0.0360865925498434,437.3581074449729,-27.933760241603977,-1008.8267241295824,-16.820466323472033,36.46571375000187,-69.9359130617807,10.180233035541168
