date,excess_log_return,RF,log_Mkt-RF,rev4,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,cashpr,ep,lgr,cfpq,chinvest,pchsale_pchxsga,salecash,chfeps,sfe,chnanalyst,disp,illiq,baspread,max,cash,acc,oa,ibq_adj,currat,pchcurrat,pchsale_pchinvt,pchsaleinv,O-score,first_lag_excess_return
2012-11-30,3.634840394881263,1.7191733884177736,-3.05238121754896,-0.2967307306248194,-33.46000966571058,62.66082812531794,19.58373280421234,1699.1870971101,-6651.30681167378,105.12458098824264,-3.267267686239696,564.0955205965695,-133.68752411628031,49.81659873174175,4474.230470135865,60.17788179711637,95.35398791778404,-720.496495045089,271.6031097868545,0.0062276139873404,34.97545854816835,4.973042283535506,-19.848515011864837,-14.793241399958376,248015.15763210505,1.5047231658130826,-2.412775523081109,81.30843817678385,-370.4263305195493,-340.6515144342936,-85.40572275691557,8.756763296698622
2012-12-31,11.840654721118195,1.7251350371923635,1.3402502301576094,-131.0434814377792,150.58531465808682,67.49171796610541,63.09725106002915,1561.9017220042963,-7494.40366401245,105.06732414685118,769.4552255969616,615.9873863291695,-97.99311463907635,-74.74528277979024,4677.478081664016,-801.6048651791366,35.14712840868385,585.7417707706287,812.8313562695504,0.0048838703651693,-7.189975823124996,-58.86975634435026,16.675897705111765,-14.519169642498156,183082.0035700947,-2.187886265445776,-171.4741803235238,-81.35813566402665,-95.8869335333257,-39.05994352945304,304.90898589413155,3.634840394881263
2013-01-31,7.811788295827284,1.7276092434106831,2.0264427552392648,-23.8848711477497,352.60990739783665,-44.61699737291569,67.676703267745,1430.7764929650436,-7516.800221148233,105.12398407560951,779.7730626539767,626.5079106751667,-98.22788945706674,-68.4060437349947,4820.09260306705,-793.1228110638667,31.733270237742133,-1103.00705342944,786.9504287184942,0.0109568878159017,-20.216571341734536,8.906019576684002,1.590469113984568,-8.02896553564662,360258.5546224937,2.306599397240923,60.8551557677456,-19.46544495153814,35.867954639756135,36.05562276825165,-54.12714651392707,11.840654721118195
2013-02-28,11.087179820488236,0.0,9.408236566835557,-7.454223272050811,489.8329259014308,19.7070522934348,-45.03788283581809,2053.6007032254647,-7311.932660090857,7.055143454509459,850.5818285721322,645.3006548134654,-7.95177879545075,-192.76324649843923,4786.933672638658,-940.5998677035986,25.173337476293952,-1387.4065683330482,480.9917481188751,-0.0167766865188579,2.1537789312847195,4.985363981946534,-14.113720940773874,-55.69860984618788,521443.175054282,-125.3231564832328,-66.7120651953901,-155.64671994688754,-322.3172419279357,-17.58172625048374,310.83198300350887,7.811788295827284
2013-03-29,13.151550359738454,0.0,2.231048559982784,131.75587997646164,523.585592572004,29.938566155213238,19.82918984681226,1908.9347243553643,-9633.90763455743,6.633643771213095,99.7517640472573,679.3567583825205,82.43911297430795,-87.366315773494,5553.156773056503,-347.50561771410435,7.274286922360767,-2889.9583827706538,730.4835224417537,0.0042036571358391,-5.7238383949270855,-43.1236359089325,-23.47568968034068,-7.876955412038086,465474.5837712437,-9.643230788633003,-782.3472464841288,20.734336985446102,26.77005379288096,70.12841779694139,-48.72303079191806,11.087179820488236
2013-04-30,-4.060587886403755,0.0,6.907648406410379,55.96503710815532,673.2297164780769,139.55304261708753,30.19926417213665,2444.45329324925,-9362.48725387041,5.354629394938232,97.57087321941572,693.315716834385,66.3417311343868,-96.29491251775514,5272.037918871406,-392.2517105773551,2.347611522149605,-1275.5034172060984,693.9875955323969,-0.017009939492917,2.625104648577363,4.539488904840709,11.614923812101267,-14.269352689678612,130244.8790953532,-2.258888268530171,40.1657817778223,-6.377999134115754,-23.472746926615628,-21.774741644477984,-61.6174023686217,13.151550359738454
2013-05-31,4.128029962759309,0.0,2.7029110948131616,183.1368957701288,447.6255665266161,33.34625038191829,141.0182511086607,1680.473568700275,-8684.186445302556,8.630958613809124,134.7966365841476,351.0281121952344,-19.483556025464832,56.90451420209563,5298.488664363418,-339.1489116618228,-5.427539185636904,-379.8723187804504,875.1707077494475,0.0037509253984953,14.415438158075943,29.102889775741858,13.91173882777042,107.62425025524826,802444.0637582466,109.69726500363424,-63.66899366624784,25.35606514311061,596.4281434128607,250.08962147024465,-463.0544432752613,-4.060587886403755
2013-06-28,1.0244119302834664,0.0,4.8442647099819,131.2471034570314,373.9351740276669,102.4584792018237,33.23945210858171,1382.5346398031595,-5733.997667592047,-6.598727745371967,83.00309744512754,171.4679840945063,3.645978500988127,-26.27091281944401,4356.689856787668,1682.2266154815093,62.38891438224049,-652.426821828717,307.8616507069203,0.0187589894323191,-6.955728584021841,-2.381874947983306,-22.57608998949246,35.36490271840819,66901.67135587335,-28.05387449886249,-145.3043566974102,-23.997053379739327,-54.074363821173336,-108.61798196568957,286.34076754864327,4.128029962759309
2013-07-31,16.57008108643392,0.0,-2.121358693286928,165.4275707195172,218.27823312826783,40.01344042810644,102.78173433312035,621.7128570411688,-6091.799972900592,-6.888243358914679,93.23634535207164,191.31169974944223,13.569520586343106,-15.165788224809344,4097.712947025707,1304.4158435889742,59.0172178535087,104.0899925302993,314.33444703240895,0.007283278477278,-0.4577177358477655,7.662435232437588,13.229778417320688,-14.638434101007135,161433.00472355634,-0.0095056621489462,27.96151810898164,3.705940283879926,20.93777951541172,22.330379614780853,1.6234031887324818,1.0244119302834664
2013-08-30,-11.961846509923884,0.0,9.661684620475349,204.36836823686983,255.6662019308796,71.87571825534724,40.03335396239795,1208.1875186501377,-5876.44834070842,50.78054759523685,66.56077498384494,349.46443234085655,128.71151145716,57.321765014440686,4228.232626087761,1240.3629716481423,57.3369713283909,26.46397431408585,283.1532949951578,-0.0235074630119905,49.7060434960605,2.4551700537900274,-8.058025169410143,-36.23929727731951,179386.21761018038,60.65140189317026,-220.59848985092185,39.72169824936002,140.826464649518,212.47600827188788,-2284.723248052973,16.57008108643392
