date,excess_log_return,turn,RF,log_Mkt-RF,coskew,rev4,mom1m,indmom,chinv,pchquick,agr,grnoa,chatq,chcshoq,chinvest,pchdepr,pchsale_pchrect,baspread,beta,idiovol,size,mom,bm,cashpr,acc,ol,noa,egr,roaq,roeq,chsaleq,first_lag_excess_return
2006-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,-0.8218373672196004,387.9244419786299,11.677455247147131,0.3671171188924561,0.0,31.12945269472159,16.773738171862973,4.823155221899233,24.084224576469865,-18.42441227329968,26.10901318749579,3.747999307443038,26.10901318749579,0.3557854600083989,-7.346619149820458,2.864256632692652,-25.382731922540923,16.969162757326906,0.0,0.0,352.1994631696631,0.0,189.76741217972628,3846.6414974100458,-9.131807856896891,100717.72775168822,118945.0897285725,-21.68854671003987,-10.26949487845289,-23.579538000065067,3.546500527314027,0.0
2007-03-30,0.0369280633928113,376.4183856731138,10.16092284731706,-0.527462878462486,0.0,8.941498069347823,-1.8938225278988885,4.987039004207722,-29.555665572128955,275.8363910159762,-17.799003053532275,-62.12434953225743,-17.799003053532275,0.3884311441138789,-7.946913905353548,15.851431591643896,-25.889066834371825,0.1361692392346398,0.0,0.0,5.306074363545804,0.0,2.781102391828796,-3189.752059705152,47.373700275055945,1263.964405140592,-9373.047410398198,16.39433063091758,8.469798687306604,16.52691082597857,129.661455021007,-0.8218373672196004
2007-04-30,0.1484133635181478,1700.4767132906873,59.89319067157755,0.938630360879689,0.0,14.108784139740072,-13.90982539154463,17.531253611575092,-15.369692530503723,894.0680377420836,126.17825261781864,-145.85332203075714,126.17825261781871,-2.627903644215063,63.73693195106362,-14.105463443223504,-1.8437414571653008,128.80228989298428,0.0,0.0,1610.134633196502,0.0,831.182679470346,16612.976002346644,-71.05626885880835,3495911.7092200937,2157146.9460501275,91.5671881943928,52.04630030499435,97.30702817124912,636.3060779158285,0.0369280633928113
2007-05-31,3.187326643722316,1029.710196617276,61.6494372698558,4.784474060949516,0.0,-41.31715850476703,32.44976614702048,-20.22932161684199,-125.61324175449556,1172.9703686790867,-5.164862754931395,-280.49474937387185,-5.164862754931338,-11.14389662332336,23.90612067863879,103.82176472034229,767.9775385919173,167.67686461220845,0.0,0.0,24.615768728772537,0.0,18.865486948488297,-3946.583707660114,-27.47858729755117,-648351.374401134,-162000.4669596888,4.798074805840088,18.58527238765757,42.478969583589645,232.7966218869792,0.1484133635181478
2007-06-29,-4.690312737259622,1316.968166772435,57.46576511203661,4.450044135555847,0.0,35.3338513391524,39.95401481528408,12.926968849975562,-33.924774586725405,49.198229122096215,-84.62920066917309,128.27592162823316,-84.62920066917304,249.4130438188734,-14.340660300119914,64.60400091825372,252.2350933557352,-172.870026920031,0.0,0.0,1.1293768803418516,0.0,-22.07223860113811,3172.630201978345,78.51276670838195,-139820.8037988888,43078.0805612416,-80.23726415369565,-38.57910053922504,-80.00808611996892,-1084.8532147386509,3.187326643722316
2007-07-31,-8.19922120049546,1781.299794842443,56.17684398669738,-2.769934182528422,0.0,-115.52533800685347,95.84467308073148,-10.891210949432756,28.903575959413967,-231.4627069043331,-57.8519359342761,330.2952223890944,-57.85193593427604,251.96016244958668,-14.429357943931638,-36.53391429880284,-227.2240833497976,-50.93031364934341,0.0,0.0,8.132854221666776,0.0,-32.08457946864746,1356.3717619466406,43.582842937152975,-92969.35371046329,326848.1227657529,-46.155820239865534,-17.36331377350077,-41.65337931159836,-457.0778909674559,-4.690312737259622
2007-08-31,0.353222337792914,1703.268537770637,56.06556325630992,-5.307596452581055,0.0,91.91479501781876,-99.27855249486656,-21.205910597911853,28.50684577930088,-228.63237757027247,-62.38361755373574,327.32845160191255,-62.38361755373567,254.1466890953136,-32.40191529548558,-36.64952242294038,-251.40828520398196,257.37696565971135,0.0,0.0,-8.153911673885204,0.0,-10.204068381004276,1112.442852040018,-6.773167688044083,-12517.204406140372,-10994.428059982602,-1.6033342734070573,-2.548874427579035,-4.281543389719771,-47.51508987198042,-8.19922120049546
2007-09-28,-4.77995298150409,1481.5753854112663,58.62978053402394,1.2718494160976173,0.0,9.609829606772491,-84.90506167082538,25.7028512171678,0.3647401783839084,-13.659312806833174,-1.528865713746403,137.66388142956515,-1.5288657137463495,-10.222117942984749,51.7690920360267,-84.49450754132495,-2229.9509208532186,-43.50235424603204,0.0,0.0,-15.652547983910608,0.0,53.25758594610352,-873.0246676015449,-3.4661775923594504,-8101.203575259075,-7029.704449075274,20.523503794176957,-0.0694070411464711,0.4189738901816344,387.4252234582609,0.353222337792914
2007-10-31,-1.1012593079735704,1864.1684297246568,44.66983368401481,4.409446596513423,0.0,55.9566079348152,-184.4385071504664,-1.1278829160613082,15.595278549389793,-132.6367324725604,-3.717447499489947,12.434665089333317,-3.717447499489929,-41.41079940259854,52.31583114543498,-35.9715422006208,-2092.704473304309,-41.594759987474674,0.0,0.0,1.0691628664869768,0.0,-11.070345536411423,-206.41591738038915,-7.786141498640426,174999.81585234357,-42463.91602518084,-116.34712103082404,6.334130967929827,10.143054407185684,269.2832512704406,-4.77995298150409
2007-11-30,-7.31418154022781,1510.053966717461,44.54551782338024,2.474838495321432,0.0,-59.53984926287054,-119.5594854466502,8.024071994094367,32.61068846171077,-108.11051691285614,26.443550898791635,33.91970603278075,26.44355089879166,-41.63990585647459,68.22235397141229,-43.500355769904765,-2072.382068065291,108.5751903585271,0.0,0.0,-9.02718997847728,0.0,41.07390641782035,-8377.492602693444,16.20258360924663,10843.02188150864,14639.357556276023,-1.1399115147379746,-0.2047625847796261,-0.0543843425336447,1.7333185719907078,-1.1012593079735704
2007-12-31,-6.822474929435945,1924.9578854247893,47.25244354439169,-6.8570566818729,0.0,-99.3222990295168,-116.42820233502296,28.35295169928124,106.3977554151042,-461.6426916042489,73.90545616460486,74.25058036473058,73.90545616460497,-43.26647386153315,32.644649806191275,8.528139559936635,-119.32268911686413,-25.06356650719721,0.0,0.0,-5.96761548986342,0.0,-15.620233752764308,16002.084299443535,-10.181212102384066,122000.82858158369,33306.09380797623,-10.993994553325251,-0.6371308421596957,1.2023138479394009,50.79845639128997,-7.31418154022781
2008-01-31,2.717361364187436,1306.12709853375,37.406915324483705,-1.207837752870592,0.0,27.081141063001507,-217.7893681595433,-2.942529248908568,152.9403457887303,-387.074208935735,176.7044815098816,51.045094963496965,176.70448150988165,-8.410877080082495,35.7013504137141,-25.32103043619794,-227.6950063522163,-94.11945538363892,0.0,0.0,-12.352944821943538,0.0,39.77208510674609,-993.257057728657,-6.871240497416217,1107181.1744663068,-204488.5991353081,176.4894431833897,6.172068871872867,25.188236406110924,28.490488449406783,-6.822474929435945
2008-02-29,-20.163058389482924,2164.3725141139257,28.98241136971796,-9.049747317178896,0.0,-42.419990194445525,-135.9454561888949,61.32025955279125,107.04582836176512,-306.94521032719985,128.4447545813083,15.669134177538496,128.4447545813084,-3.595419496915833,42.447635995349216,-13.04054446662397,-227.7436253043103,-11.598875563728852,0.0,0.0,-13.17112376289515,0.0,78.72099898303759,-805.5087133872075,-32.016027986755226,4261.783715490252,50731.544170655776,26.614974023790914,5.7146497180562505,12.600065297883184,62.46920396163108,2.717361364187436
2008-03-31,8.373271840534741,1746.6001165121902,17.965839604393498,-4.33210585466845,0.0,1.1563671792670096,-423.8548348454431,-59.34627174388617,105.19609047788649,-303.8470066403923,123.1370548732461,40.53123680871232,123.13705487324616,-5.324415367764427,47.60761243978325,-12.629078081831704,-226.9983559499221,54.73631709357895,0.0,0.0,4.078471147633536,0.0,15.079102920614105,-4167.25655283366,-1.7972393518853167,8539.604891224764,111106.15135673108,-3.3597263801740027,0.0737263065720448,0.0364753883562229,1.7230861016359142,-20.163058389482924
2008-04-30,10.231492023991134,1989.1629485328888,23.25376261423644,-1.2760881359108196,0.0,-91.00484926081388,-202.08910914937167,24.133085712059582,-27.41661617598616,413.2398433604382,34.682520554994625,-145.2445365858867,34.68252055499463,-8.545373537366629,-59.44629154727836,91.63262086211168,361.0575167803219,184.40512122270616,0.0,0.0,-39.6922657381208,0.0,-30.72298388662375,-15984.882269708756,-89.2059979127709,-73052.29432244087,-186414.48981818135,7.798737930370706,11.739711100664358,17.51416217118772,351.80009865127903,8.373271840534741
2008-05-30,-8.39689401347397,1325.910494775839,24.72845673145249,6.167377120592224,0.0,-73.29602997374641,20.62619980588545,-19.63703111958432,-138.45099060681946,638.3602620011956,-67.59623986279591,-6.331431459988832,-67.59623986279585,-16.549965748380277,-99.89266859590494,212.36929950825845,682.2519392339328,-254.56669600786896,0.0,0.0,16.60693713485466,0.0,5.744097007029723,4966.264560811032,-15.637179975898292,-949902.0943511244,286223.5242715054,30.39292869434516,7.971008532361509,40.90999946604164,-40.97818041322489,10.231492023991134
2008-06-30,-27.27395886717772,1481.6665528759827,24.861229228972725,2.540639080139708,0.0,35.63534281543231,-113.58457807615912,20.67847520070281,-80.28816153868297,59.095594462398296,-32.22720061427149,241.6520230160208,-32.22720061427146,-13.52881890555983,95.49350911406398,105.9174023075156,390.44032474729977,63.403574512763726,0.0,0.0,20.3960683444393,0.0,58.71146078410197,-2902.3588557586527,71.04196829289027,-62980.26994709298,1266.488586639054,17.714136959029588,1.5863154294582102,4.755940345405733,-357.2097981917931,-8.39689401347397
2008-07-31,0.9705066547020854,2527.2397301443093,23.371485655702067,-12.101027521101177,0.0,-284.6188766886424,-209.7399591441488,-65.38844720940824,23.600651196109556,-309.28316482932587,45.36754851939338,193.33029288911868,45.3675485193934,6.49170498815589,176.53936203916345,-92.74763095559511,-237.8164260836947,158.16804669172882,0.0,0.0,-15.611846526975796,0.0,-52.78530618133482,5650.641231375982,39.72771340245754,-3705.881859551184,162213.86514828168,-83.95238911560509,-38.81067424847046,-109.93510915227624,-575.0737300315515,-27.27395886717772
2008-08-29,9.58507189267414,1511.6521718884678,20.3347142745165,-1.0464650407688434,0.0,118.11921860759992,-306.9055249752392,4.339167287704655,23.406638452178537,-298.36821634515485,44.93145909866171,189.74253542918837,44.93145909866172,7.32227927649238,159.58039333449685,-101.95933506340126,-247.38592071905316,-172.63796055234425,0.0,0.0,-53.13651148846975,0.0,-21.581029870747443,1196.2632372604403,2.247139645805184,-67044.33580277534,-62064.58104435401,2.2244968331679686,0.3541592197466539,1.5867127880649932,-15.877223525179204,0.9705066547020854
2008-09-30,-11.935576993415266,1367.6546882074754,17.638618394327487,2.0574398222386936,0.0,143.91352993305588,-308.600647338416,-5.290344739974794,-13.988281848404933,466.23905014250187,-2.8296116119895087,28.74938470417993,-2.8296116119895176,4.258222138486494,-36.915019242281296,-14.5599210177771,-35.641511376182635,-70.88452535495023,0.0,0.0,2.125259976483221,0.0,182.89908484527243,-9050.467970187035,-19.77209760833214,-20534.22839886649,18818.121382640675,-13.841595840163947,-1.3399714995063494,-2.094745658974679,303.39884706501056,9.58507189267414
