date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,size,rev2,indmom,log_Mkt-RF_lag2,log_Mkt-RF_lag3,cash,cashpr,chinv,sp,ol,chcshoq,ibq_adj,pchgm_pchsale,pchsale_pchxsga,tang,chfeps,chnanalyst,baspread,mom1m,stdcf,chcapx,noa,dy,roavol,rsup,salerec,O-score,disp,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.1741298624222804,0.2750589751692024,0.0018535803813333,558.1815349908867,0.0,4.155772383035332,0.0,0.0,12.770936204111312,56981.81963639204,0.32269714495905,218.84891858842525,537320.6751704402,-4.323815070163272,18.271292517042745,4.1979350833732125,10.010268315030473,0.0,-62.62834684522401,384.8999745924908,46.90932170792662,0.0,4.820402450106101,1083.6708141620802,1038028.6147588836,4.14439530150571,1.6096832040741549,10.93257149175054,7272.695026336864,-1326.5072619190305,11.620221862323078,0.0
2007-05-31,2.6170905693633117,1.3914935644573525,0.0475159007183186,556.2393925112858,-19.51858889403087,-9.767086044213128,-10.972461998662345,0.0,9.469239630007682,54612.860204935394,0.361782315513598,221.3962923850817,546885.2715462344,-2.7819078785045708,16.270625610141057,5.42395092815987,10.002219995421417,113.248899123596,-73.21693974017509,0.0,-4.038541363141874,0.0,-0.1404480062469506,-397.06143272149984,41770.24984664016,-2.237118493766027,-0.0433954789057176,3.626695117279583,-68.32588687090629,22.70617082138324,0.0620797321001287,0.1741298624222804
2007-06-29,-1.157315915243605,1.2944121594903268,0.0410971367651966,557.0527098376294,-9.278630276665558,3.570598006165576,3.753893046712787,-10.988505618686933,8.673950414096902,37741.62932759224,-0.5433954626019962,229.56499937953043,553366.926711352,0.7249143507784064,-23.492867218888783,4.147114560996912,-28.395745489217237,114.31526432569844,54.30886143667187,0.0,66.65052778435869,14.75176849845882,5.693364197662064,-713.490877859997,8594.103989670053,0.365672889354437,-0.0683123186216854,0.5829206462766319,-4645.319221268795,129.56982025970342,-9.603259084258582,2.6170905693633117
2007-07-31,-2.785077679186008,-0.8081449050236985,0.0159390100119616,562.4761902172243,6.6937787315039206,-2.997933243059161,19.2071048644791,3.7904410518232527,8.758467342165073,38345.5026649982,-0.5510417750920815,231.47172247810403,555428.3197622644,0.7192666592654484,-23.780699449087,4.188708634093349,-28.802618691240557,114.68212851419364,80.60140210467489,0.0,-36.02867865389953,6.834312542071437,0.1287395136415341,1.2244330914238084,4229.658488142071,0.0231403328578778,0.0186188391022332,0.1405196057174205,32.964239991637896,-11.10224835284862,0.006672129464404,-1.157315915243605
2007-08-31,2.762238073290428,-1.549318637782377,0.0586681565524864,560.9288417215761,37.11711132985032,-0.6380167635114818,17.809296022723657,19.15426692158532,9.28749644223031,44449.38098317888,0.7005347494715966,225.57824342567116,528944.6263456257,-6.835058027206664,-12.29921122752168,-18.635022383299592,-2.6497628255020924,184.85597447026183,80.55387445814581,0.0,0.4025457985376732,-24.26868568261619,-0.2833620362500291,-248.40930698246248,5645.213083070936,-0.1605108155810084,-0.0519870191958644,-6.783365854317012,5864.526971482139,-112.55520919630384,-0.0006191963717743,-2.785077679186008
2007-09-28,-1.5348372929649203,0.3707051924687441,0.0033775002205763,555.0188076003222,-12.76443137883783,3.9699665396748536,-10.946613999763638,17.621654490783943,9.701496833143914,43214.14716128674,0.6882921895188766,224.0670508683025,527680.6859485297,-7.55127954036494,9.048694430714534,-18.422397307425207,6.304067183867158,183.5032126936612,35.19420835623546,171.2234285369959,-11.55937782791966,31.34535536252858,-0.2133917317786462,54.09156694585661,-3289.9615382070187,-0.008486975769852,4.50647319437731,0.931721885907665,-73.48820212013561,-60.842907362878805,7.311770261701255,2.762238073290428
2007-10-31,0.6511757171753954,1.2921950417608243,0.0408176314725785,560.7446125894253,-33.57827629476956,-1.031719156301787,-21.23375522316625,-11.05954382519537,9.800437981420451,44011.91665358736,0.7011275677949866,225.9301065417618,528578.3123186358,-7.599439730841144,9.176723225539131,-18.70362783318301,6.422979785468945,184.84440167530192,28.271924071803205,0.0,16.34879051653469,-59.17562302904928,0.1450994692867357,-2.179452627855966,2045.317714376375,0.007714373996511,0.0899970021197846,0.0899302681869613,141.87901164439245,-14.010419358226956,26.847195328315102,-1.5348372929649203
2007-11-30,-1.558380141291575,0.7248045727339655,0.0128858702439085,556.5983994366562,38.22167990473754,9.28653863988552,5.071175842858529,-21.07675028150053,9.162878297035729,27083.808695917247,1.363425615594897,238.14852750350653,534683.5920469338,-14.505501896273708,-2.307364817554217,4.9829752982025095,-6.197510498170623,177.3966370191062,6.372358998440372,-170.36629003534557,79.64674366946356,23.51026382277117,-0.1308348804891341,965.4417479008208,-33698.52541569644,1.7036793135165509,-0.0013412792630216,-5.692390362786121,-453.9907452744246,122.05297994349417,-26.466107220572823,0.6511757171753954
