date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,rev2,rev3,mom1m,max,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag3,aeavol,bm,chinv,cfp,agr,pctacc,cfpq,chinvest,currat,pchdepr,pchsale_pchxsga,roeq,rsup,tang,chfeps,sfe,baspread,gma,oa,noa,operprof,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.9304319938247896,0.2609032335493696,0.0017581870027548,0.0,0.0,0.0,0.0,8.951341071247052,-9.8649425131563,0.0,322.493059856873,178.41781666219322,0.0775580050506996,-71.11764962141896,77.94547926489368,-6.092561054917672,-71.11764962141896,-1.031445390196986,1086.9325955149054,16.924836233574876,5.58457082250966,-43.21303405096361,26.31103839550596,0.0,-49.93484086594772,28.262912435354565,17.69238103826937,18.525483345093196,111227.86616796804,47492.40876722572,15.691491645001832,0.0
2007-05-31,-1.9930723886764916,1.3175678011437617,0.0449915273975521,-15.370436968137138,0.0,0.0,0.0,-5.07920448858718,3.346900637167072,0.0,316.42692211748823,177.73330474252924,0.0769331442785174,-69.82713755419638,76.91786629739309,-6.149346907562162,-69.82713755419638,-1.0303780921932848,1082.52436211468,16.783139071984046,5.480336454250436,-42.43048183339217,26.039714250395463,0.0,-24.469817187054574,28.05202560415941,10.124052054334928,-0.1312850481914544,-952.336028530728,-332.5499371402766,-0.211926040131873,0.9304319938247896
2007-06-29,-0.922931360132551,1.2277993603461472,0.0389822035140915,-17.243184205396425,-15.470238598787038,-42.36266183938028,0.0,3.1463494555205616,17.03494724132497,-9.84068594701429,1838.8315234626568,194.4337263235324,0.0333998697792112,18.604872143567253,-7.064766061656144,-1.6987282869165474,18.604872143567253,-3.5784687280535703,1073.293683014949,16.26970594389531,0.1751972836046906,21.57458754102413,34.76931517230402,131.30035565817298,-68.58114634512809,26.810689444621268,-6.183468666761602,3.845248598700085,996.1784368649242,-1937.434123581188,4.406206654945477,-1.9930723886764916
2007-07-31,-1.1645997331046196,-0.7598399981156855,0.0149862942427381,13.56119325416153,-16.311175157377342,-33.684602065848665,0.0,-6.991182645271593,15.723906271258755,3.337390829776284,1756.180036651445,194.78491995461,0.0335894947314135,17.88920004281964,-6.730944428762557,-1.583914124336944,17.88920004281964,-3.576107265734696,1071.5748672752443,15.711973842645529,0.0571088644437178,21.04993287411056,33.92413750370975,129.0712468052981,-96.15739906430632,21.78491961691588,67.66405167957927,-0.1082213716741371,-1185.2443221149151,-519.9186472451765,-0.5158782883891284,-0.922931360132551
2007-08-31,2.519810648958499,-1.458561249565854,0.0552314402242021,-20.77340671903892,13.530370041418172,-29.59111317987311,0.0,-6.232399640350874,-9.76316719778882,16.903490224162837,1751.1427140797466,194.9741882089284,0.0334320141587816,17.82971202811371,-6.765790464091582,-1.5719404881575416,17.82971202811371,-3.562876302013059,1072.7391062340143,15.654718740772129,-0.0496059451713968,21.00530588005105,33.91058809844982,129.26768221782118,-92.66598297369134,22.113778029936224,-75.36659169089674,0.044387869705222,-177.59924590223818,42.613762318163936,1.5020168241619558e-05,-1.1645997331046196
2007-09-28,-0.2336965269978939,0.3501935255085687,0.0031906181345148,-9.826432342944656,-20.25261466738546,-8.693306575964051,0.0,6.248188916031163,-18.66852013328387,15.652624877389725,1140.932143626912,200.07665015123047,0.0029016870766379,34.962380544090074,7.851672656813594,-3.277390089386188,34.962380544090074,0.752612277326265,1235.3632758466,-6.2786449599122,-9.585869177956742,23.05542230462576,38.10898853059655,129.09790371357352,56.4129602056432,28.26309711061177,19.327717488187865,2.2588714784362125,1165.2765356941236,2561.201053943332,4.998794887586769,2.519810648958499
2007-10-31,1.735038383159956,1.2192216137791705,0.0385125595644035,-12.49648229888454,-9.890867807987693,10.020735306901488,0.0,-11.63867823622107,4.528884783414877,-9.803850037974009,1154.1538496630042,201.7552229522996,0.0029052462806231,35.2993613036094,7.920198311451696,-3.310541584278661,35.2993613036094,0.791182619823674,1247.2679526179932,-6.331649145005056,-9.735113513414833,23.23887881655312,38.52967007325413,130.6752335753423,58.59184792455713,28.774016699026237,-0.2769798233633409,0.2618731969831707,845.619992514723,510.85475387334736,0.2900310644022568,-0.2336965269978939
2007-11-30,-1.5036282449474427,0.6861315957665645,0.012198326343257,34.12378079376169,-12.563230291420542,43.01146509548065,0.0,6.924958924552296,15.69654388868322,-18.81681025476252,1153.7110096351262,201.5492711507764,0.0028952452313636,35.44250040481945,7.915209100474786,-3.331491076996876,35.44250040481945,0.8257699955924599,1245.8014225242705,-6.408129351983741,-9.802292727495834,23.26345437754068,38.65471471524054,130.90809295558643,60.51360441359417,29.116990977440864,22.39765839250032,0.000980785105888,7.5745200669480255,33.428002540291345,0.0787820301430279,1.735038383159956
