date,excess_log_return,illiq,log_Mkt-RF,log_Mkt-RF^2,coskew,rev1,rev2,rev3,rev4,mom,mom1m,chmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,aeavol,cash,chatoia,depr,gma,quick,chtx,currat,pchsale_pchrect,pchsale_pchxsga,roeq,salecash,chfeps,beta,size,first_lag_excess_return
2007-02-28,0.0123043254950455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0880011553563264,7.49025359077382e-05,-0.0197261505502592,0.0003891210155314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039532028141737,0.0172483266034906,0.0190216685101825,0.0301105426981854,1.033865946787295,-1.4878469073099945,1.2355983591938648,-0.038338671305548,0.0431872465742169,0.0931742894277052,4.079930142083142,0.0,0.0,0.0,0.0123043254950455
2007-04-30,0.0632827293535128,4.844450554511243e-05,0.0067388471152164,4.541206044226105e-05,0.0,0.0161043254950455,0.0,0.0,0.0,0.0,0.0,0.0,-0.0197261505502592,0.0,0.0,0.0,0.0,0.039532028141737,0.0172483266034906,0.0190216685101825,0.0301105426981854,1.033865946787295,-1.4878469073099945,1.2355983591938648,-0.038338671305548,0.0431872465742169,0.0931742894277052,4.079930142083142,0.0,0.0,15.689210821589771,0.0880011553563264
2007-05-31,0.1463979618151331,5.32354279568008e-05,0.0341474096122388,0.001166045583226,0.0,0.0923011553563264,0.0161043254950455,0.0,0.0,0.0,0.0,0.0,0.0067388471152164,-0.0197261505502592,0.0,0.0,-0.2592231229018956,0.0376381232753738,-0.0029199224598944,0.0190605580699878,0.0440391000694381,1.0868418105791002,-0.336691025383534,1.3237558618768384,-0.1150313093370533,-0.0845940610083521,0.1062344827327461,4.111261934679128,0.01,0.0,0.092299128510513,0.0632827293535128
2007-06-29,-0.0563866324438275,5.396876949139936e-05,0.0317496528936972,0.0010080404588702,0.0,0.0676827293535128,0.0923011553563264,0.0161043254950455,0.0,0.0,0.3265861720200179,0.0,0.0341474096122388,0.0067388471152164,-0.0197261505502592,0.0,-0.2592231229018956,0.0376381232753738,-0.0029199224598944,0.0190605580699878,0.0440391000694381,1.0868418105791002,-0.336691025383534,1.3237558618768384,-0.1150313093370533,-0.0845940610083521,0.1062344827327461,4.111261934679128,0.0199999999999999,0.0,0.0649314800621159,0.1463979618151331
2007-07-31,-0.1057284602533195,5.134378343573923e-05,-0.0197229604652361,0.0003889951695132,0.0,0.150497961815133,0.0676827293535128,0.0923011553563264,0.0161043254950455,0.0,0.2580952140811448,0.0,0.0317496528936972,0.0341474096122388,0.0067388471152164,-0.0197261505502592,-0.2592231229018956,0.0376381232753738,-0.0029199224598944,0.0190605580699878,0.0440391000694381,1.0868418105791002,-0.336691025383534,1.3237558618768384,-0.1150313093370533,-0.0845940610083521,0.1062344827327461,4.111261934679128,0.0299999999999999,0.0,0.1492436511005301,-0.0563866324438275
2007-08-31,-0.0458877720861634,5.718817879376684e-05,-0.0378670695115773,0.0014339149533946,0.0,-0.0523866324438275,0.150497961815133,0.0676827293535128,0.0923011553563264,0.0,0.0640655984714988,0.0,-0.0197229604652361,0.0317496528936972,0.0341474096122388,0.0067388471152164,1.55231926849654,0.0518380210883439,0.0075626464527051,0.0182786241018596,0.0392315244442302,1.2091896683226484,0.5706272712908833,1.4511156527091056,0.1771460267910487,0.0295002980871059,0.1340478841870823,3.070834081010098,0.0299999999999999,0.0,-0.0523879021991984,-0.1057284602533195
2007-09-28,0.1525263476418223,0.0001757587110641,0.0091110140596724,8.301057719554846e-05,0.0,-0.1017284602533195,-0.0523866324438275,0.150497961815133,0.0676827293535128,0.0,-0.0453049029681774,0.0,-0.0378670695115773,-0.0197229604652361,0.0317496528936972,0.0341474096122388,1.55231926849654,0.0518380210883439,0.0075626464527051,0.0182786241018596,0.0392315244442302,1.2091896683226484,0.5706272712908833,1.4511156527091056,0.1771460267910487,0.0295002980871059,0.1340478841870823,3.070834081010098,-0.1399999999999999,0.0,-0.1004606920813433,-0.0458877720861634
2007-10-31,0.1894402424584639,4.697987986918566e-05,0.031587825485664,0.0009977907189127,0.0,-0.0416877720861634,-0.1017284602533195,-0.0523866324438275,0.150497961815133,0.0,-0.0400765171414882,0.0,0.0091110140596724,-0.0378670695115773,-0.0197229604652361,0.0317496528936972,1.55231926849654,0.0518380210883439,0.0075626464527051,0.0182786241018596,0.0392315244442302,1.2091896683226484,0.5706272712908833,1.4511156527091056,0.1771460267910487,0.0295002980871059,0.1340478841870823,3.070834081010098,-0.1599999999999999,0.0,-0.042949362207791,0.1525263476418223
2007-11-30,0.0464468916595305,0.0001041841704231,0.0177784063851918,0.000316071733597,0.0,0.1557263476418223,-0.0416877720861634,-0.1017284602533195,-0.0523866324438275,0.0,0.2049503577608032,0.0,0.031587825485664,0.0091110140596724,-0.0378670695115773,-0.0197229604652361,0.5788614562413346,0.012951042570776,-0.0153150982601274,0.017178751024429,0.0277469208030646,0.5673081529984827,-0.6588431253785585,0.743546008677367,0.1697096751294851,-0.1020372625260505,-0.0041353005197544,10.777739656399309,-0.3299999999999999,0.0,0.1557255960379624,0.1894402424584639
