date,excess_log_return,RF,log_Mkt-RF^2,size,rev1,rev2,rev3,mom1m,log_Mkt-RF_lag3,log_Mkt-RF_lag4,chinv,quick,pchquick,cfp,chtx,dy,chnanalyst,disp,baspread,gammaps,ep,stdacc,stdcf,oa,ol,noa,pchsale_pchinvt,saleinv,roaq,roeq,rsup,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,2.756481244384338,88.19262082570187,0.0093139735523213,2820.787235836234,-89.51215205635197,0.0,0.0,0.0,0.0,0.0,50.48639625910492,1115.644511053175,42.22470179247244,90.6103279820734,-1062.43818716287,18.06113513470248,-287.68077785582864,167.0091273409301,203.86946780174125,0.0,39.37999016897376,0.2277515107837687,14.475477024573683,6148287.791860188,1017199.0284621258,5131088.763398062,-288.88653732278635,1296853.826630919,29.82405858534768,72.20434408649976,226.58708871129824,0.0
2007-05-31,15.360080008733917,89.88693953086994,0.2382097018856213,2799.77634620042,-135.95936701595085,-87.46024804811732,0.0,0.0,0.0,0.0,19.36689674554588,1117.290490755146,75.12055459539323,8.136598493210993,-334.1541968751675,12.66112942055896,1879.6727280418536,291.57916454372537,-24.85992944034078,0.0,-1.5671491570876768,0.0021026770879375,-0.1025439913561356,-41550.21332847234,30016.82012609695,-71567.03345456813,252.65637825826423,12576.714193737833,0.1527853574793951,-1.6782589512614976,-94.69904926415644,2.756481244384338
2007-06-29,-4.157277184737675,83.84577985224949,0.2061461912111984,2805.219814643825,48.41688720741103,-137.50243723188353,-86.95095882191754,37.34085315472572,-55.33618839023432,0.0,18.34593239536248,1769.5926098397226,5.154057238127926,-35.943513821209265,-320.88719311877634,5.763512492481856,1249.193361647437,212.10302521221385,73.3587752728609,0.0,-16.78520462499243,-0.0009616766830053,-0.8537659149978172,145495.08515995555,76972.77846807509,66344.0704389112,55.883674807279846,-188403.42449598992,-0.1617461462379026,-2.210906028408928,-10.812406834410892,15.360080008733917
2007-07-31,-11.24996715616089,82.2984560565695,0.0800342546609997,2837.92271758138,219.88386844536413,49.64285335706912,-142.72999937818338,84.44035396957712,19.124327318580367,-55.98129077701101,11.168409016698751,1815.348391091003,38.744113140310375,-37.15338712931182,-342.70199248669684,5.791873520631066,505.19346888419057,247.0184602892975,-60.38769826294222,0.0,1.7952442583453632,0.0010071154142667,0.1890772593785374,77718.18473440968,-17363.57782709645,-12724.0381826004,35.88501897844698,5426.725024883868,2.7136352066392035,5.055724365445627,2.4364635476121776,-4.157277184737675
2007-08-31,-6.802200324405924,82.37473948023307,0.2952959268067267,2843.107105529822,-40.40179966538394,220.5464805000297,50.91807505176094,75.46302743257753,97.08474290399349,19.159264116350894,8.211204651394855,1836.441338967496,90.09240740756772,26.53111807170968,-14.225896575064318,10.464702257101331,-709.5931344043846,985.5432404640444,311.29189812673815,0.0,11.560197680961744,0.0019764858352768,-0.3803948267314343,99218.58996141424,20130.8934319627,77715.31843189709,31.60432118929448,14162.48021469405,5.698847169270486,17.2277160414434,-171.0669637726577,-11.24996715616089
2007-09-28,-11.781358792038496,86.17986459215234,0.0170329531010208,2821.1743212046304,-148.6709848104974,-41.29162556214841,221.21124353121488,-44.6520526915264,89.57130545085886,96.33579513370428,21.610270089618044,1781.4047730940797,1.394517344637368,55.45834763139001,94.73643036618996,12.847818072008607,1072.8058999679952,637.1259300698388,-235.23853006860463,0.0,18.58061095936832,0.0009437091637813,-0.0039409277426898,-34535.628655524924,17632.13400184014,-53340.76763213892,-29.775175773104635,102916.54363524704,7.667593596015827,20.507408099163086,42.68188767166372,-6.802200324405924
2007-10-31,-4.165795905097126,65.5440039005829,0.2043724961636856,2812.063744442694,-74.15686985246666,-149.45322272169156,-40.62733563410649,-419.2715413434857,-55.46222205736704,89.28204780100596,13.45145898089116,1797.2167585653042,18.28740420352511,60.27051757709961,125.6630230953269,12.848010878779212,1279.2596131314451,430.12221553773054,-11.1171328381119,0.0,-0.0165377144636025,0.0004635826978739,0.0839123793223421,-14457.781913192945,-9097.46201352519,-6496.046549472958,-16.831152889178696,12491.53629705892,-0.4528859519026014,-0.915125160747536,-1.0927362745024922,-11.781358792038496
2007-11-30,-21.284798236115748,65.25866960444587,0.064457565106597,2787.5200657858163,-151.7111252033696,-73.61298959922325,-147.19218787227445,-415.9108696989547,-105.55521609602803,-54.97814805354598,-65.76528407088432,1824.9724629251969,120.18823229975855,217.4503785207613,-87.90632360204539,21.035585959347937,1453.322378900196,812.6407327075297,26.76428412076575,0.0,2.992785753561406,0.0174018005611966,-0.1858554392342686,-165304.8987299651,-10789.998075528769,-155162.39912485518,65.90985472545466,7098.453519776696,-1.6088928154285895,-5.092144608208443,-270.7693401269507,-4.165795905097126
