date,excess_log_return,illiq,log_Mkt-RF,baspread,rev2,mom1m,indmom,cashpr,chatoia,chinv,ep,acc,agr,grnoa,chatq,egr,pchsale_pchrect,pchsale_pchxsga,roaq,chsaleq,sue,chfeps,sfe,RF,mom,max,r_sq,aeavol,stdcf,pctacc,salecash,first_lag_excess_return
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-30,17.943398443333308,0.4365476771872957,-3.039523679932508,720.9349009767961,-463.9768503637951,114.38838285715038,-11.429044166878226,64804.16509901302,-51.37913552599715,64.0687363781762,82.46163137244285,-259.0189913186166,426.7667026877883,411.0634243726879,426.7667026877883,490.6430262421954,150.2235292397195,-448.7512440265796,148.89134261877305,-90.6267074280796,0.5603689563972961,192.5819944236109,78.49037952886923,55.38830753492757,0.0,558.4387281243922,0.0,4795.7448959148005,225.5499103165025,-97.62138500552108,130738.98602317112,0.0
2008-05-30,29.306356017867667,0.6638218940522587,14.64638098719665,924.0447619924062,307.7753470464549,222.49674805305847,23.39753654012736,61371.39218973576,90.07129348511553,32.43070775258403,62.82450457235274,-59.23401260946816,242.39429321826796,495.63274121356505,242.394293218268,307.7463421816313,-103.95873998416155,481.15741166890496,92.32004879143328,261.0807169897202,0.8669256985901743,767.1485596507644,96.15610771571316,3.337207612341743,0.0,2.48934495752826,0.0,-1550.3882231677912,12.756627985671289,32.88207378885508,-38564.34235521642,17.943398443333308
2008-06-30,-12.815362200410709,0.5173838286955185,6.269618946911719,708.1745188442842,101.51101006999876,1121.46858120639,72.04754813934471,56607.946408704425,112.16294258669016,27.497274696502885,70.12206513263679,-17.193422855334582,172.73215340940126,370.6618463666316,172.73215340940132,164.33361856820824,-171.06247503548585,540.3936185464619,95.11780717327645,339.61411649886696,0.919715216652402,1630.30271419393,114.34104049245076,2.625361108995939,0.0,26.55135012448318,0.0,852.581351720542,0.6091524708495513,59.53066050911826,455.8230997153733,29.306356017867667
2008-07-31,-32.56587178400274,0.4329030411952955,-30.20333301159537,766.8298283299531,298.194244826765,663.2690309670874,-33.22757692131106,58307.820665373634,159.47947912538967,41.95636154404091,73.32179597239367,-30.51967767479401,206.42353222196263,360.1285782972806,206.42353222196277,201.1222913437336,-83.58524351085026,514.5029296260898,100.78824694312289,445.6682461999153,0.9240927169440551,1740.0706458334184,119.7543388241736,-3.017254338292922,0.0,48.89747212025486,0.0,655.6488576228066,3.1581411758252216,-3.5424837654150405,4896.668088733801,-12.815362200410709
2008-08-29,-12.594911928170816,1.5057158006679987,-2.643115253456983,659.7464328568718,436.22235114208127,55.54828018356818,-72.42399353061849,191349.30580642272,302.5322383688665,74.23345243839977,120.39309373363818,-40.35878822853453,428.3457876402648,369.3206933592234,428.3457876402648,419.0184186783008,-46.24462590966456,-1154.6067211984478,187.30741027913933,882.9791332715732,0.9214750567981884,1421.3019017693723,138.9640165858647,-6.973097313943711,0.0,5.723845404413851,0.0,439.0664542557506,91.74518957249342,-17.790922946552296,79133.823678156,-32.56587178400274
2008-09-30,-108.87835815443268,0.7164318124675648,5.163020144518166,574.270941085906,-182.00403047849653,-439.0108677200773,-12.600664263971264,188830.56130211463,306.49033440252225,84.86923365900422,126.31203879512682,-50.4719845750958,424.3087553954932,356.1255341487692,424.3087553954932,415.694066987983,38.96624801322855,-1034.2196373860836,186.34965109262745,904.947459387482,1.0142961417916243,1143.6344843493298,190.83039867819727,-7.097484146159928,0.0,-5.183993100674911,0.0,-1042.185919167161,-2.427712865117826,0.4092709557702889,1571.7681974156876,-12.594911928170816
2008-10-31,-111.62915045233154,1.578352869186399,-32.88490216006776,1053.2160381233275,-476.73212204688735,-2425.328907797735,177.11726392470905,186093.93047751783,296.5092999785287,87.2972260773029,127.01989447590826,-35.84894814545716,450.44830725792633,407.1583671475348,450.4483072579262,408.3270746063803,-9.541213693803186,-991.2256315529931,185.33622200685383,883.1969823351667,0.6721144809411079,1024.3812822885366,189.22352004461223,6.694874407924779,0.0,10.774627166314303,0.0,-680.8803794260575,-1.5591728055679823,-8.329338365775744,-764.3293965219636,-108.87835815443268
2008-11-28,-51.97125476540572,2.505977835962748,-62.73983374190452,691.2583903496095,-174.43161246604228,-3690.0595332869634,204.7280436037851,-22424.84155154839,74.67691355491259,86.21338272269216,174.39884231407424,-117.10253829714588,135.57578057200342,997.950664907712,135.57578057200345,819.7363459366404,187.15078052881432,290.04173580533325,139.01555057500755,177.1719420538839,0.9096009835975026,100.54984384345131,154.20138430495174,-24.392719116568617,0.0,-72.70611267711297,0.0,-1204.768221540719,-15.135693542912293,10.794852740643236,190796.4766821013,-111.62915045233154
2008-12-31,35.703828015083666,2.3078474155532773,-26.55257384290183,467.38411624865046,-1400.5369221620406,-3710.309358421622,144.87066934912934,-43605.42937070704,47.927268699394666,70.79919805108959,156.07215361223365,-132.0848567288413,75.85580348763031,837.1461955935155,75.85580348763035,715.5356314420796,135.23191034259943,284.866126410728,124.41444725049654,80.80204720221786,0.7947785293742765,-2985.010511331573,102.08822506713854,-16.831310916067658,0.0,-39.84458920272096,0.0,-468.1984314621932,-16.377785770781998,-1.1017917569069553,2283.3963670159574,-51.97125476540572
2009-01-30,-48.52496307918562,2.7089856268618884,5.531186171670787,559.2826035570376,-1426.4589733614862,-2946.647805328148,136.45976652297986,-46921.590401252266,-34.896435327985365,21.848788019087024,120.10547160046907,-165.86152441823245,-29.41634476266271,711.0664912297899,-29.41634476266268,609.0983589674388,85.69166808998457,170.61414053182352,100.67219354827807,-58.79177571541776,0.3426513311428352,-4025.464487454086,47.11044893618524,-9.733884833157196,0.0,-7.360850818164636,0.0,143.5834214963645,3.673650930959127,1.295814193019261,1386.150750580884,35.703828015083666
