date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,rev4,mom1m,indmom,log_Mkt-RF_lag2,aeavol,cashpr,chinv,ep,lev,pchquick,cfp,cfpq,chcshoq,egr,pchcurrat,pchsale_pchinvt,pchsale_pchrect,rd_sale,roaq,roeq,tang,O-score,sue,baspread,acc,stdcf,operprof,disp,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,6.842861009282101,0.6289823465131439,0.0042386158713222,0.0,0.0,5.34894425241193,0.0,699.6304054331727,26569.26611617316,-1.0848889908819983,11.449032979509552,1523.225121932321,-5.5272281065358015,138.45954366680832,138.45954366680832,3.711104787469973,30.028586111273302,-7.903893195553458,16.3966667811738,-392.5752494948866,14.237647021902111,20.013169302349247,45.77028130380621,0.0,-3388.371479897964,-2.7676742542651525,110.2116513730544,-97.38785467875368,200.4562582668428,68.22941784752192,748.9665209133086,0.0
2007-05-31,-0.1667479717506412,3.1802152575408864,0.1085961130543383,0.0,0.0,-8.497953747675522,-25.144941988739653,936.5028544670174,27498.919436729186,-1.0844507505140275,3.618591494610851,1431.6758916580277,116.2695307935204,146.674756493366,146.674756493366,4.0985491179516185,40.810186165436825,113.89382575718273,16.390043355787366,1.6758236070652843,12.778717421548633,16.70164747772533,30.621542464402573,39.04039836539295,-3286.655925627334,-5.832445237031041,-39.547201427378354,9.77594130366775,-0.4589740435416161,-11.73032793615848,81.05554262909982,6.842861009282101
2007-06-29,-5.142862667938919,2.976666708789315,0.0945081347842796,0.0,38.03815286199555,-0.9916217164229122,8.687670009463922,1015.72682101045,39120.02024428136,1.8789427476172889,5.834236299749169,1249.1944445933389,69.78804575367784,15.453064788613927,15.453064788613927,3.990972104964019,7.884792082714597,73.22737138675743,-149.9706600307488,-278.4941027130254,12.942481002129204,9.407783297840602,23.6253384094005,407.2794618827334,-3329.7311422993707,-7.898146639636766,70.76138878544506,116.63836272706772,-27.09685754079121,7.29874666403056,-698.3626992111855,-0.1667479717506412
2007-07-31,-9.144340687696626,-1.847278052025608,0.0364337919883932,-40.97821694359335,6.557468539154897,-1.8325673937540188,44.035723019639946,1025.0086243704443,39076.21161778712,1.876114396668548,5.80712174657264,1249.8852430889517,71.24510295472587,15.630332542170535,15.630332542170535,4.019502480020819,8.834089250757177,74.67925141041158,-149.74491091778663,-274.05910161682425,13.14470661833975,9.417097666338606,23.55164826486838,407.8114107969403,-3346.387743650743,-7.426614512262865,-53.031173866939184,0.0214098816845833,-1.5186389485437246,0.3888100162380468,-4.9081278537082085,-5.142862667938919
2007-08-31,-5.015341067668902,-3.536293754297882,0.133909081407352,-26.299042997788845,-83.58287869845425,-7.991644644077292,40.660387916903744,680.1265847824244,49701.8124299475,1.8463319016631736,7.578487091059378,1231.4974032349428,27.54687157461506,26.642476877826372,26.642476877826372,3.4879691163260347,29.28480014652241,30.926504426449107,-147.3677759896562,-245.06198819133405,13.088273517777251,13.034953943716571,28.12068885258795,421.50646267666855,-3596.1520322708143,-7.570993354134326,24.054984333477947,-18.44361642731701,-0.3589727268756348,-16.89808106346038,-20.853974362758777,-9.144340687696626
2007-09-28,-0.2133902513700143,0.8446470556693819,0.0076955911996646,87.70251976286217,-226.8149910332524,30.57817015819178,-24.913024894869466,1092.6292738510674,39808.90806002355,1.911827329754073,6.970110060059157,1238.6523804082683,53.26155832793632,56.52155091126961,56.52155091126961,6.565583172259809,50.78351360249924,57.02631759699767,-110.97300168982088,-153.6151406153037,13.019859103492868,11.629528230120634,25.85119114376521,411.2915404189866,-2925.3025779774694,-0.0260283035085172,209.9657047144973,-9.706758646647824,-9.430488965407363,3.8316793565364895,10.495885508223664,-5.015341067668902
2007-10-31,-4.638277539595494,2.916323745706995,0.0921203255390845,18.86897848960383,-240.4752139745035,-2.0994362529132444,-47.51744651279374,1086.78893957099,39183.5227549045,1.9255266953195864,6.981726450229891,1217.102905466146,53.989876709539615,56.135520380881296,56.135520380881296,6.513874192798993,50.62191978119891,57.781612689672286,-111.76818841740403,-139.9817592450537,13.163800538910836,11.687723802628552,25.96611024587381,408.0263519396518,-2932.3699565908646,-0.0152332744952823,-227.61316823380776,-0.6742292660497249,-0.7562133887832658,-0.5869450066903212,-9.664250473633883,-0.2133902513700143
2007-11-30,-17.121112375608746,1.6416968276119983,0.0291867533625636,-71.36595149271308,-218.31429412879143,8.162586109042389,11.433472207925773,1412.168719644542,34233.64926083834,1.9256649715735088,5.561663600498171,1229.0257083009462,42.93661212813219,67.44065114352458,67.44065114352458,7.817409779106084,35.132484481424086,46.728620401060624,-111.77621473375666,-323.1996546836014,11.755097384371364,8.26844295575709,16.27406425924317,415.0414788752631,-2939.95345209071,-0.0832418385766089,121.91870783498032,-25.45880544762392,0.3142290338383589,2.6167327031596272,-31.060141951252437,-4.638277539595494
