date,excess_log_return,log_Mkt-RF,log_Mkt-RF^2,rev3,rev4,log_Mkt-RF_lag1,log_Mkt-RF_lag3,chatoia,pchquick,sp,agr,pctacc,chcshoq,invest,pchsaleinv,rsup,salerec,chsaleq,O-score,sue,chfeps,sfe,chnanalyst,beta,bm,cashpr,quick,acc,stdacc,cfp,roeq,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,5.560567696685098,1.3872624589682905,0.0093485496196666,0.0,0.0,-56.3634668552404,0.0,-45.02340205953058,-66.7120570004408,1254.4199529073449,2.9736092410258155,-78.81514055962245,-14.78517294467384,83.11416601758498,-97.42315856820817,-0.7280625637953717,6613.964756449105,-78.39826620514395,-11242.612654912244,-44.85976585307653,-807867.9132767754,20272.361624535588,831.7900637646021,0.0,1512.6285052355029,75367.03449510413,4379.343359968623,-477.616858269404,0.7246607627809227,507.6979698706336,118.59054217799024,0.0
2007-05-31,5.348077112339818,7.004293331291689,0.2391784734278861,0.0,0.0,19.122830274452078,0.0,-44.18775430449424,-21.692981575564875,1179.1768148818494,40.03157359818616,-72.08627041140596,-20.754609823596144,41.95224290268185,-59.79333183313005,41.232616850552105,6344.537396352072,-90.98781935044924,-9538.003460820742,-138.9291832607657,-955914.7949534165,16191.759374836343,1267.6023352612942,0.0,-37.150690384864674,11392.339260721465,-10.43894511804774,377.1717420476624,0.0015877469048468,-379.5706114672908,-32.35515751442546,5.560567696685098
2007-06-29,-5.809763611028215,6.525798613487333,0.2071918408323819,-27.837285081981705,0.0,97.30546022338716,-56.21106196707928,-39.73580617805698,55.972882559698846,1190.2709532834467,31.550883971099985,-70.53412420692693,-19.660733427440427,36.24224944385697,-71.0064244186961,39.99802641234372,6357.100954401192,-71.4283410963345,-9508.105481896491,-138.72522818016347,925602.696814556,42821.02541925118,1051.579133219444,0.0,18.680199669290687,15405.861155691557,-357.9156952086428,19.32576442662381,-0.0080935408235192,-29.07108707576178,-1.5734147961453289,5.348077112339818
2007-07-31,-16.553450294140884,-4.06032431111248,0.0800816158640948,-121.341926845312,-27.341579005593346,90.76360391230872,19.26452715684731,-39.858683823386514,55.87389868843839,1194.8536889566024,31.53579112348939,-71.3031082377295,-19.813816947794777,36.28474116284964,-71.07814432649079,40.17539217164494,6379.342732659995,-71.73345905866404,-9530.269681897347,-138.91778294574175,906664.9711668354,42331.16858659654,-627.1133124399483,0.0,5.803860281286006,478.2617795104306,4.046772654930464,-0.4898513493455567,0.0025242938940491,0.498613852658579,0.2217911299258332,-5.809763611028215
2007-08-31,-4.945719525184474,-7.779333984997094,0.294580580763655,91.95955929239932,-120.75388309264788,-56.15325655354038,97.22111728483463,93.56747185245057,-139.8002013347705,1266.498332999679,-34.08969911953267,-18.23948292323704,-19.418241576268024,26.66750770000083,136.0529191036912,32.92964845089724,6569.214881269946,202.45438710616816,-10128.657134189169,37.37856928250282,686486.6057068552,36146.29892274628,-654.7501652772797,0.0,-47.84524851837796,40489.65414115686,-461.17158512229753,-72.87965217050909,0.0030309642643429,75.26799527744984,35.43831612408373,-16.553450294140884
2007-09-28,-10.910591835210464,1.860605040028899,0.0169519986792006,87.76977248115668,89.63993916828862,-106.60479147318706,89.38281123243108,92.68253506357016,-177.0030132749603,1246.595317126592,-34.51210400761934,-20.961708160310845,-20.54373382878469,28.36666046702089,144.77734584650585,31.65290052131298,6591.818535130389,201.6561051864743,-10037.462278947323,36.69832119009496,348655.65284431685,60532.79302323113,-511.71637089852834,0.0,-16.61126870454632,-30048.21547164643,-51.223607872987486,-5.263589948722398,-0.0128921706899168,3.85169847185486,-0.9900038138712972,-4.945719525184474
2007-10-31,-10.052649772073568,6.440092097289608,0.2034285052807749,-64.65709037349023,87.14429391037723,25.57904085214551,-55.37192766484052,92.53827099115092,-173.69696642133331,1236.5599955056382,-34.595659908777954,-20.87380274177784,-20.497154338989883,28.251162945101875,144.62836472573414,31.41998679974391,6576.696152080544,201.06853169054455,-10029.035154784018,36.520757251300495,313737.1646971696,58979.1038441103,472.7774164750767,0.0,-9.789876555039656,987.0165990939277,1.8846747449424583,0.4011506836968124,-0.0019043131957655,-0.7583582043582737,0.3323493745354255,-10.910591835210464
2007-11-30,-16.541202209266395,3.6106778437730274,0.0641920980325991,-196.3454926701714,-64.01306170025025,87.97844467687882,-105.46740172449697,-1.27902995217453,62.270569786741945,1556.0908182841583,19.37550724410177,-1132.6147051150906,-39.6058245834692,26.270118404109432,56.59268095371475,5.606523012573363,6384.453869646154,2.618443385271039,-9120.874912495978,-255.95078211281952,213880.96234356397,54414.66451891741,1094.420581260247,0.0,313.9907922114571,14390.365520153966,-13.235562321259296,-113.47302896202105,-0.0091709842494175,147.01732375139153,-2.74585579548004,-10.052649772073568
