date,excess_log_return,RF,log_Mkt-RF,baspread,log_Mkt-RF^2,rev2,rev4,mom1m,indmom,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,rd_mve,cashpr,chinv,pchquick,sp,agr,chatq,chcshoq,invest,rsup,salecash,chfeps,chnanalyst,max,cash,stdacc,saleinv,roavol,sfe,first_lag_excess_return
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,-1.9085776803105865,4.438490561284679,0.1395377530980711,7.278789927242928,0.0019301934022737,-3.5874980770698746,-21.105596666500222,117.42421840195652,-2.2952359324519778,1.7172880355239202,3.220938663096002,1.846955569386509,0.0,2899.6502015345486,31.912471146958687,-68.01153821949283,73.10808827640106,32.88835021156427,32.88835021156429,0.0,0.0,-0.8927080187992288,5604.751848136128,0.0,0.0,0.0,2.112542026717233,2.531166890267647,155.19160961513907,7.201476111777691,0.0,0.0
2007-03-30,0.0526360250053391,4.068476747576587,-0.2111983811392754,5.150312058009179,0.0041661310623233,3.3229244595270804,62.03618628794024,48.98959024679205,1.0713275170630885,0.988110078080337,1.9345251449014784,3.628387728237787,0.0,3441.6367828271104,-10.457975766020974,126.18213155694784,68.57673960939776,9.56123520195119,9.56123520195118,0.0,0.0,31.78257740826358,4159.711840300707,0.0,0.0,0.0,1.6293916813850615,0.2886700536443736,70.81587817991775,0.8649060812619531,0.0,-1.9085776803105865
2007-04-30,-2.4491130736647104,97.2805786961809,1.5245556909612568,291.51403383948,0.0102737477200211,68.56666851354757,-3.9049788070354543,52.26266780083898,8.94093386379475,1.5321502413790895,0.9547751305952604,1.8692618756115484,37.36898639868905,75981.39438968546,-54.04399010715372,176.8564540675734,759.4890784627231,160.03536429705963,160.03536429705957,15.238781169021957,6.225237128811719,123.23694596489958,25578.920544136618,-1422.7335392370042,787.0554053263191,0.0,504.1407798184777,3.0275357439228245,7841.838711428179,53.31548370664806,29.631757249327265,0.0526360250053391
2007-05-31,-2.560456506057201,99.710748215233,7.738326731928114,442.7657344979863,0.2642438126284823,-95.77780716516764,3.3262271569856616,60.88668719275155,-30.475532014520187,-60.70705078589998,1.5872196119258732,0.989092173425393,22.793801621229747,85345.83349173299,32.31125352913775,588.1186804382899,626.830988418128,41.614138124899725,41.61413812489968,41.205840822790215,35.43176555127859,73.46299326389303,142407.354384216,-1245.2269478416997,653.4037738010547,0.0,28.64037479745116,0.263760040885356,-2588.1717879068747,0.7103569319223979,-0.7738561712175702,-2.4491130736647104
2007-06-29,0.6333333108554331,92.8240618374941,7.188126203715908,500.6561066974429,0.228220511924057,11.10079921706044,72.19999366121328,-85.31382580173755,0.157736004426535,20.718006705326253,-60.646355731639325,1.6133383772866234,19.70194533946292,71666.01007636613,31.405498571442216,619.841902314385,622.7981069424286,73.27411919960247,73.27411919960237,42.13587483936135,36.25213906441368,42.88970387009694,144867.68280712303,297.2885645585609,2277.9944262774475,0.0,-27.76719548872916,-0.0868475752262449,42.02243178430399,-0.1460858951009811,9.519179314873444,-2.560456506057201
