date,excess_log_return,RF,log_Mkt-RF,rev2,rev3,mom1m,cashdebt,ep,grnoa,ibq_adj,invest,pchdepr,pchsale_pchrect,roaq,roeq,rsup,chsaleq,baspread,size,max,gammaps,bm,cash,gma,lev,sp,stdcf,cfp,oa,saleinv,roavol,first_lag_excess_return
2009-12-31,163.27157713511633,0.0,90.21116165086764,1680.3908672334342,689.2896465395311,1597.6861758464192,1355.2538877848565,-89.01397198230991,-1727.4567959294973,1288.564505135614,22.2055065514067,289.0909150676614,1087.1420793580266,28.98398868762338,-46.22246289765793,-1315.583408678307,2016.7382102400784,-313.511111054042,-264.610958965397,-56.15466289348569,-0.4249907089920173,-1282.4089429842588,-41.21136287484478,34.19706864970385,-2197.7090614594563,-1131.7322624360004,-236.03255790369624,-78.01284173851593,-4232040.444161534,-166583.21182314306,-3.8123028791272873,76.19427983039476
2010-01-29,-117.5518196684223,16.729386721265204,45.38011142320563,-1831.6558025652812,1694.2253446645652,3145.8301479443608,1447.5141664307644,-12.521323970583506,-1732.019070124267,774.3673196380525,-50.35999332338862,127.9669722440358,956.4733622195032,49.03987233553997,84.8800166471972,-1181.4035993285313,2142.897312540203,61.66888479258432,154.46147758578445,80.17299250828273,0.8589247708917425,-60.79372737511403,44.54046378985095,17.2236799896059,-197.26940852641383,-0.6432038023540372,-30.687982204289256,-66.76629476944481,3729618.270326436,88723.98463508487,-7.3864106940762895,163.27157713511633
2010-02-26,100.74430637153684,0.0,-57.624288183494734,1101.4310242034055,-1859.0622015092404,-202.8300768078252,1675.2963206787556,87.05847211890566,-797.305611009359,814.077790648081,-6.582025515058905,217.6284996180719,874.7591366305238,121.35864515245052,-403.6165122564843,-851.8163181247356,2079.589922098362,-32.933539137645994,345.3397027787396,47.74433293419861,-4.400861649071238,196.02956243793776,153.37027215307808,77.65695653075136,-137.6889139251798,15.430839071057562,78.62091252785376,90.62023151400469,-8238411.309603214,3339502.994589664,15.346104955751798,-117.5518196684223
2010-03-31,117.47200300053878,0.0,56.09037916159386,2243.115044766216,1085.2547518882752,3040.677723851288,1796.721877834028,123.01125042185126,-159.36182459696352,727.9185888694973,78.99658659901424,48.17958337159224,623.013245160056,213.5192609797613,-255.38465743472057,-353.3940739357728,2104.4461271407818,-293.0467137088133,-237.4302024444696,-132.12645963104842,1.912236584267406,-574.9505428175853,-62.28326783648754,60.92800931437523,-149.22380834839169,-30.148751366921715,-89.70727029733825,143.4531566993578,2546702.792962849,-157220.94392429292,-1.0957583184133457,100.74430637153684
2010-04-30,72.37624713478725,16.85380949844183,103.11704762380582,-1667.581092443554,2264.7842960908843,3591.8555241316635,1916.7369409045968,99.09150045204548,218.20863911225376,622.6443566681194,327.4066728328573,282.2111002881551,9.197809419073575,221.48080883523747,-214.09891660447624,46.54297821780823,2083.5197050225497,25.923053282237788,208.21317123569315,82.45787896872571,5.724498425301796,-81.41768623883218,-64.0451038035635,21.943286996926645,18.48945318020924,-44.97163504041691,-292.5012726779314,42.87465392472609,627728.7517185807,343434.8171080835,9.448259264481749,117.47200300053878
2010-05-31,-158.8628234494704,16.942718506591657,33.54770375347013,1421.2259222413893,-1683.775273943598,2343.7356161473017,2246.8403758726417,75.4371746623994,588.4750873567457,356.2688067301345,190.10707493794015,133.5773869648418,-37.39898093717609,286.4921813254527,500.18142107885456,358.7186500119819,1812.3794429871537,258.17932172242854,235.57719777717648,-174.71988825526387,-5.437448058096413,-71.24587713938672,22.01662480633968,59.037321193156,-530.5980840925167,-232.41869693700573,116.7561281860426,-477.2957632551885,4889780.149391711,3154229.3106489293,18.391252266836204,72.37624713478725
2010-06-30,-127.6013979442133,17.006481915949426,-139.75605592139323,1649.3984586652978,1429.9689357112838,1941.9244518339087,2373.526326601403,190.50106459748403,1122.493530704282,-91.6000670182434,124.23531140374637,466.0454774912559,414.72080397714,308.32403070779884,543.4378705939681,750.2173507844972,1562.739292274469,25.142929837892325,168.58031752297757,-667.2078533736621,-0.5870241721887623,-436.2614338921412,75.39397015191025,39.263900365768,-673.3320505879747,-335.68769636105844,-799.9928852665616,15.92148047818523,2570420.8386278152,-25941933.78255593,14.782926874325767,-158.8628234494704
2010-07-30,128.53010899626494,17.000760955814,-97.42366610366844,1011.7162430609028,1626.4734697276094,-1231.1637700636388,2363.563029142397,192.2321526029729,1651.6505373050406,-227.66452941832785,169.20363066091122,543.5625590810305,255.3584952104036,284.6406158256887,720.5245865998858,852.4146126798815,1708.0985953926497,-258.5647768644885,-184.5552235425639,-296.17040906135617,-1.0876010645029783,-167.85674561128326,-123.36080470648722,-25.258790604783822,-45.75315306690936,7.054656854146742,269.1041626158176,-140.06346412105663,-3786100.1968302727,-16388.418181800283,47.10620830225105,-127.6013979442133
2010-08-31,-143.61396506431268,17.034368009082527,114.1264219110632,-2075.9148507612163,1006.9436754781038,-968.0922186936452,2200.181038098822,190.10399623934975,1085.7976132210194,-1227.1276394412284,167.54510135362264,822.9591066445768,-580.6874438882093,258.05446433484207,154.25471563426328,1017.4058524031956,1661.9706088509438,188.41283626209497,-92.7168454061066,-180.590808230741,-3.788083000645804,720.6152700188923,-177.53032397931656,20.94109501393677,1143.3289249139434,617.5097605590718,-51.07758463530263,51.51158658515124,-14312349.507363675,-2717088.1314750146,3.099879314595114,128.53010899626494
2010-09-30,226.29304829541564,17.231111730357945,-84.20872625305934,-1740.3126577529283,-2102.979337586584,-4006.280807679411,2341.8077857539347,143.04353482744693,1342.3194761417924,-139.0377325834617,425.1353861930213,403.0169898834734,-306.9769126159656,321.80053051638475,-23.671990777608748,1404.3413293664137,2670.42956007304,-72.78552566620237,363.26922143073534,-140.3046995346226,6.505367274741699,1182.2755859017925,-27.441235182115637,148.28105566864997,958.1309700022576,746.9376924624439,285.7712088405151,155.82999510102763,4237479.849351943,13350.13123312476,-5.997528535993183,-143.61396506431268
2010-10-29,80.53160012651509,17.12489542747126,156.02642932190778,1855.6896940458205,-1714.9148725823768,1200.6966686350927,2266.199146803106,117.77740370582092,741.0184854102968,-300.77781146133344,384.36558651518607,349.07574181769223,-362.092416920136,304.8547354296096,-1296.8488956891488,1501.7022747815956,2692.8436800625664,-158.28807076905923,-290.3206406300451,-197.1301560318675,2.7336746977955766,41.61180156557202,-140.6614270543305,-10.816101506796713,237.79822020814757,206.8332148407289,-108.43091495767383,-7.695687614032408,-3427154.3865752816,-13377.510605778543,-12.544846828531718,226.29304829541564
2010-11-30,41.46271855615575,17.294826771608474,65.82836711278499,-2013.209613083834,1887.8939294984896,4041.142230576845,2368.680829614522,144.13973237285546,1201.554859271473,378.0846796693533,428.4834842037138,659.2219384242654,-571.4468373760117,334.00091885143763,-748.0126779685688,1462.4532115008533,2388.553195854421,311.61047600523807,452.5008824513716,289.03086735187526,4.807394709877152,-115.37582828940867,75.65482754673849,33.07210809776234,-184.93335822407423,-44.44645473717537,110.73545827945964,163.11820327365,6840051.926555097,-136116.2398141967,20.8731159002931,80.53160012651509
2010-12-31,137.88394065882093,17.36300201458033,10.385628114456685,3158.009618764264,-2029.2305736176,2801.507363289405,2533.02659377399,248.2418173181303,1748.307721638915,453.8774499516828,224.3041468483609,503.3780457471753,-455.0452489375608,421.5254102267189,-529.166920648012,1306.3553428012483,1263.628270596416,-294.75178698216564,171.7683126276388,173.9502846299174,-0.4266169069085095,-460.1096779468371,-54.89646035460282,48.433080754164166,-683.4500545227947,-265.0304618346354,91.2489248305701,25.331152566304127,866316.190918684,-689.5398870687932,5.485607073091842,41.46271855615575
2011-01-31,68.84868325919068,17.39240143147137,114.73523725452534,1098.8966963165087,3172.9084380850973,6779.281224894262,2712.449388792877,332.22724826419375,1804.1379883632824,681.4204710824919,226.75507238268807,418.8097718924939,535.2955488156964,579.1384699935735,973.3204598182843,1186.812182570862,2329.443766195448,110.2404148805008,82.9038070626375,-9.11667294272138,2.348352372280265,-295.2416852051647,80.73425993856017,38.62718592898818,-240.74742787114883,-188.1106071175545,2.0371885048271,-59.112764136152464,-438004.7196264863,6862.056864880142,30.0324274692764,137.88394065882093
2011-02-28,80.35532703968168,17.50273404574197,34.484984556740955,628.1825230968993,1099.6855879109562,4618.476258642466,2921.061297400277,338.66644974955204,1903.310325319212,728.6169874992029,157.92768343470703,65.02605696587146,-1553.1095391323036,605.8922101309364,1160.4670548281515,1121.823886582043,2726.506354537838,-5.160558935502877,296.6453415222132,-9.549045286767068,1.890909024066932,-236.14792092296196,145.9831665458687,20.016086061342776,-178.6361291605117,-32.456933182843386,-102.80832926518542,156.39754993025213,1195463.422989428,1304797.21385668,-0.3156586945075332,68.84868325919068
2011-03-31,-9.307591752071511,17.55270066018489,60.208267538660245,1954.8049333211795,627.1394613483519,4675.813108031343,3002.933915386556,321.40201525985515,2020.177199961161,842.3842566508314,166.88635062009092,208.23565588734127,-3126.6472729666684,672.3329196984207,2054.993413907661,941.0631903198938,1246.032815193278,216.6899587956807,127.84844377768604,115.40471509140616,0.7854560106854898,-679.3858181352334,45.65266564998092,-85.12498204682015,-561.7984008957392,-363.2605726024576,407.1767167678745,-17.44176065055808,3127538.933068633,161608.03040031344,76.98369845010814,80.35532703968168
2011-04-29,0.8203982015024156,17.619826560789537,8.085719883492198,1005.5858488329176,1968.3568601033664,3989.4614068452897,2976.309695881999,299.18869030990675,1741.2600045826468,597.8361703418968,172.81921995879338,717.2290442710586,-2756.926326532321,655.5722100877448,1832.5693772506756,821.399710591967,1187.5032213549698,-411.01052162526,181.38113409312427,99.72552737184832,-0.7663783299398936,-266.1960790583853,89.42708894462885,-17.1519119653085,-497.467697789325,-303.49659416615214,53.73767142594079,188.31283059431848,929082.1500082016,1232.7486927234568,6.684845826610172,-9.307591752071511
