date,excess_log_return,log_Mkt-RF,baspread,log_Mkt-RF^2,rev1,rev2,rev4,max,log_Mkt-RF_lag2,log_Mkt-RF_lag3,quick,chcshoq,chtx,chinvest,pchdepr,pchsale_pchxsga,pchsaleinv,chsaleq,tang,sfe,turn,bm,gma,oa,pctacc,cfpq,invest,dy,salecash,O-score,chfeps,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,4.46506853195885,0.4392433897913441,72.79625231661183,0.0029599940501733,-9.082335376888034,0.0,0.0,0.0,0.0,0.0,919.4551734372194,3.0306864359741943,523.9551527777785,53.59714466491106,16.438845067472183,-27.216001472711536,45.69856285019911,1.1231316034243104,0.0,7.276818711778,874.3280012260008,633.9349302264416,32.662837271552874,25150588.996489905,-0.4056032639272428,128.8636173465416,7.929286957833323,10.76893056909356,3752.617060141697,-4090.116532312727,-86.01382218439444,0.0
2007-05-31,4.57551119523742,2.236335501639717,132.79133526322835,0.0763650644048817,67.45589446789135,-9.193971643543312,0.0,0.0,-21.21696518050904,0.0,907.594988847262,-1.9538963902369813,85.33678832838211,-12.578675111703095,-6.26700474233168,-15.439150925705937,-87.58522346132307,-29.61944743090207,509.6591861812366,7.128002413208219,-91.35804997607772,-57.63203780374454,-3.550772447598113,271412.5025661029,0.3090846788533108,-99.05813009715168,-0.4095639624196145,-7.078933558179656,448.67391311772826,94.3155167586374,28.84037717570237,4.46506853195885
2007-06-29,-4.1555679111697685,2.0864750047568403,234.39282209618983,0.0662448571724012,80.13371577179126,67.85244260607135,0.0,0.0,7.298603868836869,-21.36468690590809,913.2292599462422,-1.9541737909064936,86.65227366914007,-12.612091613396863,-6.284564545012433,-15.530804056776976,-88.13130632506545,-29.78720916879565,513.3138251058136,8.88211002583222,-142.16733623333903,4.156922635598335,0.204958469706419,200390.8431574963,-0.0006008346016804,0.20788493416795,0.0829176291209901,0.0226582148108711,35.68265084328323,-29.17308557716933,183.3449551806687,4.57551119523742
2007-07-31,0.2982163963493387,-1.3018346315346316,145.1507259713656,0.0256760329700283,79.97836175383217,80.75847298723714,-9.257215549788526,0.0,37.30542237042597,7.362067599785711,921.372977852358,-1.959560232062174,87.565873441081,-12.701376732457472,-6.481310179929067,-15.740915265923556,-88.97092490255577,-30.120085054641507,517.6003501889086,8.977391495855976,-96.96593701802078,5.070359111625066,0.2502436066335143,194049.46235392612,-0.0010963642238791,0.2480012301228349,0.0474493469552594,0.0329299207518811,35.502221221086984,-32.936132463747526,0.5865697299583275,-4.1555679111697685
2007-08-31,-6.366232347868406,-2.4903495932771262,393.0802002736666,0.0943022411567514,-63.28050594899233,79.3194949346685,67.95679919915918,0.0,34.43808465439482,37.038873681293815,930.165756542816,-1.3914888574033046,188.8841388959722,27.684034022326955,3.452275461720092,8.49922177558884,-27.958751067395223,52.8513692316668,514.4999588533083,8.782711630278143,437.85186654384,-43.76502276642316,4.172680373884074,198071.59736292064,-0.1689603762190158,27.32594036354452,0.3398330511313183,2.920949989966654,972.1137242929552,-213.8312849111462,-32.035806134613765,0.2982163963493387
2007-09-28,1.7860619088663907,0.5993432482675655,291.539854055363,0.0054606247615355,12.536256160550412,-63.18594108527606,80.42735183687317,0.0,-21.41108239055128,34.46715999743388,931.0251193030329,-1.3940262371775525,187.6033441494866,27.491706473141093,3.3633513175103555,8.403924977963863,-28.05614239861038,52.9234904843301,515.3093650449038,10.18487556484646,-310.0566568490932,0.2294998039080837,0.04577547804341,81448.5593897216,0.001988302396557,0.0428409438244159,0.0338818918456524,0.009279482750192,7.424310857234559,-7.507096792479388,-39.513146990629664,-6.366232347868406
2007-10-31,5.4168704424965926,2.06569425631359,170.9797194078658,0.0652507896751679,-97.82701461126273,12.491115440053074,78.37302891883127,0.0,-40.633617949681565,-21.1639097167542,919.6223905117986,-1.3971012992259009,184.52295350671727,27.13560594382098,3.2804607802820867,8.26007272172279,-27.704790953107334,52.35026052243245,509.501533578043,9.913382718097774,-89.50207831306932,-6.309565905422119,-0.3843200694082824,-260520.5886844024,0.0041289641989271,-0.6726992038041217,-0.0937251705981765,-0.0707638655961364,-52.33754768932977,47.37626617881415,-8.21287084418207,1.7860619088663907
2007-11-30,-3.2910036616386624,1.1648475722949048,81.16295962990978,0.020709133517061,31.707640920211013,-98.28416974024988,-62.77343438773832,0.0,9.812819410320254,-40.78390311786138,931.5570194772356,-2.2035362441987374,480.0918956810216,10.516167766132998,-19.254871796101675,8.625215664588595,-31.016693850496868,13.058553434564582,519.4789125206389,9.66010918858289,30.308242348269005,28.669610526525048,1.3365679621881057,179634.34872159362,-0.1047705257070042,44.51495108865487,2.407950507501303,4.142293293060576,-1166.9969239845936,75.94391606105,-14.064853164501656,5.4168704424965926
