date,excess_log_return,log_Mkt-RF,rev2,rev3,chmom,indmom,log_Mkt-RF_lag2,log_Mkt-RF_lag3,cashpr,chatoia,chinv,lgr,acc,pctacc,ibq_adj,chinvest,roaq,disp,idiovol,mom,max,r_sq,rd_mve,sp,stdacc,ol,noa,cfpq,invest,pchgm_pchsale,rd_sale,first_lag_excess_return
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-30,-0.9460755494655564,-4.0407050802640105,-123.24920377744375,53.91754573803645,0.0,-22.924210545772485,60.24583199455762,136.7682767104406,18505.33468232964,38.799798574559226,-8.77011806797018,-114.81638000576731,-59.457989076458894,-134.3397040555945,-7.704448646739021,-953.062011273479,7.479946969903551,408.22859178606126,0.0,0.0,265.36922061496284,0.0,16.660938985619595,374.1508113781893,0.0,160930.80972444735,66928.0494288812,60.51686970984876,-3.258278901040808,68.29068159904713,83.65487258322838,0.0
2009-12-31,16.724968616803753,11.064077673898472,166.6290360626342,-124.2900398263024,0.0,16.906456467198247,73.43624645953611,60.15535901733317,15751.290511231957,7.818263527532368,-11.212655822198908,-48.65971344849959,-91.6633948197222,128.6947436879981,12.123572958723114,-960.433817237166,8.343678622786703,359.1250499343134,0.0,0.0,41.6528426207509,0.0,0.604803112922145,-33.547301815509456,0.0,155455.77461380415,32235.708917519805,9.351294008711925,-0.6354202746162292,-47.240849610986594,-1.5483320562881602,-0.9460755494655564
2010-01-29,-14.170017154260997,6.273452240528725,-110.23431338574233,165.9254555978585,0.0,0.1588621679039423,-65.26895992513369,73.3377399672107,15788.868584088095,8.155023906253135,-10.785671710516942,-45.90185980211488,-92.19842080068476,130.16154785661283,12.812807804952143,-960.9655050550504,8.505499001497435,384.0753678789077,0.0,0.0,-11.650106741480272,0.0,-0.27364744954453,-3.042845497586484,0.0,565.7072667347966,38.225154742613086,-1.4131499269015677,0.3358047836087445,-0.2317379316974097,-0.3444910825772638,16.724968616803753
2010-02-26,9.369536637286842,-7.95818895538933,-11.799118772974332,-110.17194062461176,0.0,-31.45708981675337,156.13500106534454,-66.16008925768288,15610.298519462878,7.439548024719308,-11.69284033522862,-53.2974273298661,-101.45642835835272,154.25454213505202,-16.4025576413663,-976.339921792235,8.133427751875676,602.9907533704878,0.0,0.0,48.34234176782593,0.0,7.60649444097519,15.811858810317574,0.0,49396.94213354716,-19310.578427020955,-8.790571677399257,-0.5242799674827241,-5.34691172649671,31.65819492245416,-14.170017154260997
2010-03-31,11.894908475851649,7.746035965143596,202.28663660378544,-9.460980641429176,0.0,6.43784410336529,77.49922144835554,154.5908993515509,16655.541120504902,19.407188381524737,6.424784516430216,-64.10322241754733,-100.2333322046828,-19.02717420100325,15.662803590647073,-980.585606125184,12.105996372618124,427.4072399883087,0.0,0.0,-20.2196941508966,0.0,2.4483957723322654,37.22077197092136,0.0,9853.128476172162,8224.573506940666,-11.211100041873294,16.10777744535649,-82.22193880995098,-5.262022746894132,9.369536637286842
2010-04-30,-1.928415425154065,14.22366423667074,-174.94672515757975,204.38663308089943,0.0,-4.377018475353394,-98.3118717509623,78.02824204575901,7501.702867565671,34.679543175331595,4.263891156538552,272.48455425515823,-170.30564609433566,-10.862960473412622,-22.293905072484453,111.8470503117452,12.20493039275145,731.0383031724214,0.0,0.0,7.990304380956275,0.0,16.56020624587706,140.63597779282873,0.0,162381.77988122572,264985.3584849347,-2.6973467244618163,58.28954189563608,26.666364558258067,1372.6661172292347,11.894908475851649
2010-05-31,-14.425148336071508,4.622654762319732,119.38418427895446,-177.33971089011368,0.0,-40.77509086955408,96.9995685375622,-99.15418813981046,9698.077139627549,31.97147491437495,2.140849658890822,191.87485232232527,-133.98956142828462,-38.34004721699084,15.34783757435538,114.61709175932344,31.61536350233873,558.4763106945852,0.0,0.0,2.0429781959045954,0.0,-19.461679252267068,-34.750424498238374,0.0,5067.244394728448,2735.6639839081326,-38.95848640689878,1.6500821885448005,-22.131890391474226,44.54770925181356,-1.928415425154065
2010-06-30,-8.203779879255237,-19.17949597659,159.95559859856434,121.6107053117602,0.0,0.0,177.49575484656918,96.99603916150409,253.76739390722184,6.176052817178375,25.045797770578048,217.8401697619149,-42.11636025758642,466.93534695417975,-308.58093991525044,-61.29099585866871,27.28989163357932,855.6600367296396,0.0,0.0,-44.40132291646438,0.0,-12.367931651219068,26.32027962921194,0.0,47988.4949388369,4735.5203535846085,-28.32688296225918,-11.374834863028276,57.38625845854092,384.964356713162,-14.425148336071508
2010-07-30,8.067327804347471,-13.307302201512943,-14.685797594826294,156.70479761511552,0.0,-27.77910852008765,56.90219553035388,175.82543847222072,118.09522002404049,7.349146486987171,24.334768470324903,216.53525662146103,-43.46914604816631,444.302269043872,-308.9984222551942,-59.83967934151685,27.71938260160975,810.0719458755646,0.0,0.0,-48.06395069728097,0.0,-0.6782686058132832,-0.9387058239819908,0.0,-23521.0399887932,-29917.736963553063,2.1374222606942794,-1.574687508091337,0.4831482049567768,-5.436841962676681,-8.203779879255237
2010-08-31,-12.671775625945774,15.510229013658012,-160.13246766986603,-15.465014635296289,0.0,-1.635579241840091,-234.86933507795,56.59132572487029,954.9692981021248,-2.4700249943872303,27.60282500085581,179.26161121601325,-57.2436864133395,410.14591680547153,-349.798262029417,-9.100754511891518,24.96468381418774,693.9690463267087,0.0,0.0,12.94098171035492,0.0,6.21253895302215,-4.170666759321307,0.0,1810.1532228719443,981.5150033232056,-18.351704707453717,2.358164566459521,26.32531705655797,85.43663896439853,8.067327804347471
2010-09-30,14.790428441401025,-11.345420535730447,-91.47571653871088,-162.38743319867658,0.0,-13.504827307406304,-164.7633137534642,-236.27651952388052,-1294.342247723916,23.995450104832475,17.66900230209407,114.7055516440308,-56.84674798744444,337.67220164043533,-297.55200867210374,107.30811483604144,17.198674717656708,530.715243201379,0.0,0.0,6.616579677835176,0.0,6.24409883287548,46.39421569057265,0.0,11284.509980322791,7879.255984946212,57.00208500912866,12.220403962810778,-179.48431085576829,-152.52490531873173,-12.671775625945774
2010-10-29,8.815480553776498,21.070802284188584,109.29252446267962,-92.80907463995295,0.0,8.587596255245108,191.0627674384283,-163.42255471193695,-1386.2225060128594,42.91818011257028,17.276549809646827,95.2597916582485,-66.35360988287009,-35.82228067048125,-290.928350823714,109.0097515854109,13.985219230874298,546.7111926215609,0.0,0.0,-1.0116623431845255,0.0,-0.2456435413865918,50.60784649827917,0.0,-5338.024566126987,-6441.372342387738,3.690346521497645,-0.8506301467917439,3.302528723838094,-50.13899197033902,14.790428441401025
2010-11-30,13.362930558510458,8.845792645469803,-160.2401093255075,113.07139203996957,0.0,20.767589753173464,-140.894808394109,193.15740717568272,-16.21298965439496,58.598467764501095,30.493293292318636,157.24238231580253,-71.49271705567266,-24.15798601335408,-299.2949067123567,10.40783866846322,9.952160648955616,548.3992582039701,0.0,0.0,81.83541066188678,0.0,2.202725767603741,-9.96236891354988,0.0,4362.957680168096,2996.840749465628,-89.24268693479598,17.874649531763154,106.01795441557054,52.44278507002946,8.815480553776498
2010-12-31,19.21890921872637,1.3949778643541746,212.65386267947957,-158.37849033310766,0.0,-17.861306526367265,264.8418897508258,-142.0562141036241,-4350.166920346758,9.029428922571086,66.67796459550487,484.60289576661296,-130.22340851205635,-65.35423426168133,-32.344014253237034,292.4641059839095,8.372234030116752,789.0190624243179,2.61715944084898,0.0,58.831181820104746,0.0,6.688307707823018,43.14316034959893,0.0,7715.229195385589,54822.703723179,43.45091196807656,61.58631625185822,458.6622719383685,1219.845718144161,13.362930558510458
2011-01-31,-3.472227063288252,15.46718121075523,134.45573447266486,213.6865325714859,0.0,6.963478276856993,111.80405345559248,267.62761552975445,-5154.976665823518,8.952069422664636,67.80083225838474,497.2352785296338,-132.61498391025316,-66.98067666529286,-34.95601394169071,308.3040869131305,8.641536642303347,784.8554703042515,0.0705548738447197,0.0,25.89922959724231,0.0,0.0999410678269825,13.25877694951282,0.0,4585.004472064087,6305.101079160639,3.7502558945472586,3.404624237259071,9.525399312713944,6.289143264341874,19.21890921872637
2011-02-28,-0.5605972812224591,4.649920383035492,170.42583433792504,135.9773094936904,0.0,21.337990595930435,17.801821322813385,113.2800291110059,-4896.651268108794,8.941188380594383,69.86165558761215,515.587879527033,-142.66273935949562,-68.55491565820674,18.50894923081727,305.72033409919004,9.406646782212494,866.8156038265522,1.9227700254063096,0.0,4.398647347560655,0.0,0.440684064329595,2.774900637633096,0.0,13015.811501970864,10551.540566452604,4.198254995652821,4.96975439302426,-101.12478907132902,16.121309235896206,-3.472227063288252
2011-03-31,3.6717753076053934,8.083694122403875,249.23226093349783,171.58282425469994,0.0,-4.0298211409082105,195.7839105235645,17.752016105526586,6099.525208833669,27.414026586575297,26.63351066798939,514.3422054574928,-212.2139470691392,-80.22632981758252,19.0970674247459,307.5196184675867,18.877507323835296,930.3017668464668,-0.0009849499360123,0.0,9.584232775054543,0.0,0.3697880269966376,0.4364954346283412,0.0,11476.572938265512,34332.253592289926,131.7995908594381,-49.263683333589256,-184.04337807727956,-133.4201393038088,-0.5605972812224591
2011-04-29,-6.254076882765672,1.081047489916433,-36.83279637965541,248.87754605976255,0.0,-1.427083297746272,58.45687732042048,195.7260977157424,8895.369488617745,46.17948747274997,-41.87883915830105,548.5484901002595,-251.6236975077275,-79.79804401754944,138.7493491349628,729.0447139987756,21.62610944646743,635.3650884570056,1.633022998536191,213.75148910846107,-7.160141535276921,0.0,4.109381532577615,-32.56133382749272,3.018928669940469,40265.15857154841,21139.139810578374,2.987694886156945,-57.75544046573402,-699.4909001776617,-1841.5095900976105,3.6717753076053934
2011-05-31,-5.825550212890462,6.744490022042767,4.862355501117769,-37.33544256935925,0.0,11.18067917238098,102.05184582435096,58.61824639930765,8391.792951843876,19.026706829396733,-42.26178350809303,502.1933693645177,-193.0719139191869,-186.30633932370444,-105.08943184241308,706.068054603316,7.2812298233108415,664.211898069829,2.2285726124269374,26.80237406482445,-21.50132646081596,0.0,-7.476103970921848,-2.347044439488741,0.0153468977594388,3893.795548012131,6869.589117174677,-7.288239743927122,-3.236376688300496,310.0204951700446,48.65015716819062,-6.254076882765672
2011-06-30,2.0513137291227728,-3.009144641792592,46.32119825648642,4.136546715145901,0.0,14.357131768079627,13.60614241373036,101.70214996583132,4977.599018678719,7.158578400242545,-15.9477085472622,-4.317216866789703,-73.85982698537562,-162.70505402839746,-607.9166150359705,3632.979388115337,4.955168602833085,765.0055940540302,2.6729426842081505,-203.91998854847836,-2.036067377136192,0.0,-18.64557560497838,-19.640240377783016,1.2778043895856943,17451.943190484308,5854.772377059446,4.040367479098833,-20.31966477788174,518.5163217985537,-431.6338849238783,-5.825550212890462
2011-07-29,10.946372314489691,-4.148660803839317,-63.83761981113163,46.62004392185631,0.0,23.95628482330406,84.42609633908253,13.552463601855816,5080.8686177739,7.438226201163365,-16.274584173355624,-4.568132415920534,-74.11954833979816,-162.5914791363988,-600.1683542350759,3547.569243123726,5.402383763087832,768.7990404038169,1.0718989145132625,-38.80276138583719,-8.870397868630903,0.0,-0.672771316299686,-0.320284284248487,-0.0401044920021371,-1381.817887595622,-1758.1007557740086,0.4060328291413526,0.983773623295555,-4.8328841695742994,-25.44151012543398,2.0513137291227728
