date,excess_log_return,turn,log_Mkt-RF,log_Mkt-RF^2,mom1m,log_Mkt-RF_lag1,log_Mkt-RF_lag3,aeavol,depr,ep,lev,sp,oa,ol,noa,pctacc,chinvest,currat,egr,operprof,pchcurrat,pchsale_pchxsga,roavol,salecash,chsaleq,disp,max,acc,cfp,roaq,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,-0.1375497742292579,663.3193118136921,0.4710562943216648,0.0031743763500941,0.0,-19.44960273579206,0.0,0.0,33.27905125470245,-3.363178690676312,588.6872451492048,271.97826369793074,3424530.844995551,952071.129444027,2472459.715551523,-14.037550593903608,34.92206333090681,3352.4283443471368,-23.544927270649808,-25.889086388493773,93.04300062472812,-171.20143278511333,9.504553641735484,2897.940247943621,-181.1998311434845,80.9997149472797,0.0,-80.93452543903835,73.2052022673756,-1.8008630134804815,4.632865475840258,0.0
2007-05-31,4.684765652926088,1202.9112046756848,2.381543370409283,0.0813235369786762,0.0,6.612174248658458,0.0,288.71505675786227,33.909985102828855,-6.597309621860533,604.5670620197045,270.276731694483,3424290.272392673,935859.8622592726,2488430.4101334005,-9.93883064462997,-35.62098481773384,3155.456133018851,-26.40914705370076,-30.37531945752664,90.94197996073868,-66.9315163317305,10.120326976797871,2891.81180875872,-119.91254526850716,88.09263601442731,0.0,19.136303416525053,-30.898206219140462,-2.9668416025935267,-0.392718332508398,-0.1375497742292579
2007-06-29,-3.914954330353536,734.6242865785623,2.21264896456312,0.0702508366004737,-46.75288306812084,33.45447751718253,-19.325860074835045,1166.8427482947184,33.78648919889598,2.1798032626531127,627.1903122047564,283.6609029209603,3463188.856504017,1012027.4320071994,2451161.424496817,-7.426140842657868,-43.27407855104867,3263.620928924355,-35.07416874255725,-41.682201576144905,75.28729108269943,-12.072716518991086,10.063399897960448,4109.736881681212,-69.9725601538294,94.8876867189858,0.0,39.34360076434044,-34.44268144173173,7.783618064186282,3.028651952278496,4.684765652926088
2007-07-31,-5.697272844900928,596.3893584390166,-1.380604035154961,0.027229598803502,-11.393456744853232,31.38381011497593,6.661197177994631,1864.887533004045,33.14373457604774,3.404835483449459,647.5987621997325,302.957994858726,3494466.927211628,1023325.2834549664,2471141.643756661,-6.8286699485791065,4.587400921318239,3213.225345550965,-57.17348312597434,-39.624860254462206,19.917260335667745,-0.7055984697345554,10.166140268602934,4262.615820904585,-23.828692784077877,89.12791268604546,0.0,-14.211961819279722,15.23571897577684,1.2627857607502802,0.8835957795626461,-3.914954330353536
2007-08-31,3.162625965215183,1103.1360943169684,-2.640590860025808,0.099991437648231,-48.77787073377234,-19.34879724770209,33.49960094915866,1758.7917035315209,33.282920833679384,8.887053259377629,651.3332720760825,330.52454407558173,3534957.711373699,1045159.1009500008,2489798.6104236976,-5.746265389464091,2.2560530729411488,3096.812248490324,-46.36308365128764,-24.72357439029119,-54.76466306908934,116.15015833877388,9.385561173956386,4634.388389294427,133.6033601965471,94.70332721520418,0.0,-7.045636882913648,16.906968143520658,5.549116278444304,-0.4210151360207614,-5.697272844900928
2007-09-28,-5.231453153929674,650.8966602187807,0.631431746830722,0.0057529835230982,-8.335993015741465,-36.71173429701402,30.78096182487725,988.040929448055,33.51015019042481,11.089023165646983,590.299262657345,321.53630756599176,3516959.076302157,1038483.1451827586,2478475.9311193977,0.1835613722255204,-41.914866703015385,3060.298003944112,-66.43700356990765,-70.96939466907108,-32.386028155579474,95.6670803626812,9.308658759936652,3917.654202250984,135.08989747948047,133.77926274591928,0.0,35.63888174799787,-20.29958933827299,2.5491830412570256,2.190217435959664,3.162625965215183
2007-10-31,4.45700166978214,709.8508547910575,2.1965888834383223,0.0693854663137948,-151.0265712320761,8.886931125695703,-19.23787957096785,999.4421183469976,33.76671816141396,11.232375850405028,595.6837206993723,324.2890947832194,3503258.2801849707,1034889.2849715224,2468368.995213449,0.1913320880333747,-41.95848824486637,3080.063723854437,-68.12498634122963,-74.74550774652312,-31.99994994113288,96.29933396454166,9.309705717000478,3984.979618234504,136.26444168865206,174.11346896763402,0.0,-0.0189077538266815,0.1657981534867225,0.1575540948756408,-0.0237654159191134,-5.231453153929674
2007-11-30,-8.256054185475485,840.5774511063142,1.2299620680239371,0.0218667654836985,-35.21121407661187,30.49026070786876,-36.55132329938255,1077.342218549199,32.4532014226483,7.38767379971539,646.1439387339464,355.01660238936233,3419651.329205677,993011.7270297311,2426639.602175946,0.4676903986863759,-36.69353423445629,3001.210791000386,-66.01643630740631,-76.41752652126905,2.71639036867474,2.780624129838464,9.37549692266591,4188.640306286308,34.74555414994112,139.69865572361277,0.0,-13.252046733531628,15.914606787463498,-3.037364335499713,-0.3844994117736249,4.45700166978214
