date,excess_log_return,turn,RF,log_Mkt-RF,size,rev1,rev3,mom1m,max,log_Mkt-RF_lag1,log_Mkt-RF_lag3,cashpr,lev,agr,noa,pctacc,ibq_adj,chinvest,currat,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roavol,salecash,salerec,gma,quick,sp,cfp,invest,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.101367327269659,279.8895322814359,24.347153320175483,0.3815621951520835,809.4462470058411,16.109797624393224,0.0,0.0,0.0,-15.967258530779516,0.0,2978.268833519218,1037.0123093055968,83.79043149988821,2105721.714148042,-7.6511501330864915,0.5172637194631218,279.616593199899,828.2202678042329,-11.44054165526094,-33.789208087753565,-21.449744305439147,5.187457842970566,5516.454612981747,4935.615806585677,57.192941839487474,350.7221017432967,181.0174521414201,75.20686863323608,0.0,11.05554074009956,0.0
2007-05-31,2.9615882650941336,369.7282787530868,24.861896862319284,1.92947585430648,804.9291026146626,9.46646491641078,0.0,0.0,0.0,5.424294161108545,0.0,1955.9897268002317,1043.1361398380975,79.58278773997026,2096447.98446478,-10.621068605002115,-7.178291660261599,281.86841048165184,847.3899361634312,-11.53966323984425,-25.11837955529664,-22.897264183058383,5.196695613160758,5321.494392958415,4899.887632306727,-0.9640913566669695,14.424194022030749,-1.336109312944444,8.659028748479031,0.0,-0.0518524465752356,0.101367327269659
2007-06-29,-1.5810292273448547,219.42138708799135,23.18254908641265,1.795214357767558,806.0368087883179,5.520562045903211,18.275832468645568,83.80636518983653,0.0,27.524069072236493,-15.900003439208849,4748.418162499207,882.1538807610251,10.034907173157515,2083268.23771344,-3.362897209500637,17.7992099514837,-89.68269616009846,893.9644225897528,-55.10300144510265,188.01494362637231,3.936955025139824,4.921809243939565,4433.729180023417,5660.770431293726,19.23076077004491,22.31431975180732,-1.0339082850247223,-47.14940170774162,0.0,-1.3055679264688322,2.9615882650941336
2007-07-31,-2.197676941232698,195.48944567749132,22.68930717457813,-1.1187507709695057,811.909093886685,51.375367105133165,9.313435665808186,42.771561204101424,0.0,25.77783191213846,5.471331255156248,4732.213506974938,886.1490254449636,10.011884721322662,2114162.778557005,-3.3780338947795587,18.03474632050559,-91.69032292141728,894.8456580628399,-55.61933728466977,190.50177590177992,4.737945088469537,4.954159981599329,4485.245242948424,5710.340460752949,0.6732791400720828,4.0768220486448286,0.8254583089974687,0.2739757938745768,0.0,0.064449459530028,-1.5810292273448547
2007-08-31,-0.3525437567111923,369.03960440999066,22.657838269102047,-2.1449648417954084,809.0685566642385,-23.136862018316165,5.660484547077324,1.9690672368447208,0.0,-15.957227156754412,27.627595408796587,4805.453597539079,885.4449807214895,10.082705126097991,2094044.0747621085,-3.357132624492337,17.957462836115063,-90.30652652327412,896.3108185595099,-55.453805687102026,189.27030695095172,4.001028397847904,4.937434503553108,4456.94432214327,5681.405287335718,-0.2780128456283535,-2.669490287387248,-0.4725565974467542,-0.2147481740683829,0.0,-0.0315496766159473,-2.197676941232698
2007-09-28,1.1949122703041295,199.1185445612597,23.739790422939954,0.5149846769454337,805.103869275936,-30.78267578772637,50.16790686561498,-2.8116377301284885,0.0,-30.48692418191171,25.561768392883536,11105.542981063423,859.3366100911269,14.748865238331565,2094120.2784614416,-2.634079207870012,-3.0857425851803684,-74.31310180133286,816.0219981310162,18.288775287621565,-6.048703502828959,-16.889937284681572,4.629154739844454,3181.7554046471705,5219.147353423581,-4.070551358175507,62.214252077349045,-2.5992051580662405,24.980088787755008,0.0,-1.8777527665423823,-0.3525437567111923
2007-10-31,2.531080637828185,199.31736474898707,18.075676663025053,1.78428537489664,804.3360148185998,0.7912321120226089,-22.72669752185603,-29.404249263569824,0.0,7.32831673971313,-15.863887421032802,11298.389421466669,856.7827049192313,14.745231711170716,2089699.3632147168,-2.626099460314297,-3.076460228520462,-74.3121783119557,814.0595624575003,18.20739708292274,-6.060983451056706,-16.58180626205937,4.630258837041147,3186.0407553073137,5212.066089949969,0.3217195383145252,-0.0875868546164611,-0.7479477273463715,-0.2090915114434182,0.0,-0.4431126423264198,1.1949122703041295
2007-11-30,-3.1497277784348894,290.25514528048507,18.100195468561644,1.005601970910925,807.0422187834366,23.811399767680484,-30.995872800995457,27.36216465595015,0.0,25.49270876649426,-30.560323797449968,11165.542880738029,886.90848225223,13.304960285050086,2116564.7938892525,-1.926804837371176,-12.584179108589836,-79.11634194228317,822.1897697851903,21.062173169145485,-49.472623416772215,-30.07440411888983,4.589721326507023,3308.9535691533592,5742.023075372151,-1.438093556510978,-5.925473807018136,6.110237874229114,-25.17815529994354,0.0,0.0274787169236665,2.531080637828185
