date,excess_log_return,illiq,RF,log_Mkt-RF,log_Mkt-RF^2,rev3,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,chinv,depr,ep,quick,acc,chcshoq,invest,currat,pchsale_pchinvt,pchsaleinv,roeq,rsup,chfeps,bm,cashpr,lev,oa,ol,noa,operprof,salerec,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,6.422749141167717,0.6099395034377666,55.40032043612772,0.8682192780303801,0.0058507969771303,0.0,0.0,0.0,0.0,1.9075129329308875,79.86792662623826,-4.152913209785541,2597.0938840038,-61.09900966692228,33.53336891744222,-1.096678804976119,4774.2413811962215,28.79420460153992,28.86144778426433,41.78868987716788,-1.939456503502087,-125.40216141805524,1270.4877778364737,-2538.4667293715597,1367.9590247090282,2731934.07127371,578354.3597253659,2058584.883086617,143.65364523524283,3218.431721762304,11.614872138588291,0.0
2007-05-31,4.632575559842372,1.135573005294272,56.750203635727416,4.404255566198063,0.1503939188559455,0.0,0.0,-33.17831461613666,0.0,17.02737841232374,80.70636413339587,-5.774148043443893,2555.3647657800648,-18.62392179010829,42.535068842138834,12.983755575410104,4752.33421095759,-132.52145036614198,-124.73064222781528,19.4579165189665,11.577592393035978,-67.64188038075518,-128.09567934820916,1066.0791042117808,-109.2106647000994,35167.41386931483,19452.28002823261,4893.551130500389,-40.51437770711931,-214.0309158525156,1.2327217231638947,6.422749141167717
2007-06-29,1.9520509702506272,0.7315473094482751,53.10647988371322,4.112469031009774,0.1305694642706324,-22.05764505537031,143.61745217254034,11.429952021681146,-33.4580901609728,12.989674220642089,77.4178927611472,-5.745582555752484,2630.430202100617,6.290797175639835,43.91266966520147,13.016999510049995,4880.67158031431,-150.44387011135015,-142.70712145670493,16.842998626724277,7.775956572074512,188.1697263849641,8.7036160369953,1611.422278657058,10.32498672116003,33293.612505839206,4379.253796825185,29533.141754922224,-3.113375441176061,-192.760636767644,-3.326009808307923,4.632575559842372
2007-07-31,-2.1550010696305213,0.7367938898534929,51.972536792264414,-2.5626307210796497,0.0505426643988448,5.15422135446622,199.44611286110452,58.27348488684768,11.500026209384666,12.733202387348744,77.67904115128371,1.285122740911627,2626.791353176006,-0.4105564749241459,57.13055624211436,14.564265807803343,4864.013016431612,-37.815515459229765,-30.81178823253994,29.15982267148911,17.08466065451971,259.30280912221536,-9.715318448444576,-427.2562218281937,-55.80876814313865,40014.13287690468,6695.100086950697,31924.649082928663,20.35721541423473,64.83641945805903,3.749877626552683,1.9520509702506272
2007-08-31,-3.231176226445766,0.8617806403661219,52.05637394109584,-4.928055826370343,0.1866110325340957,94.11199087879773,174.4656129202407,54.35243399720179,58.45716907012444,32.9099616410251,77.83549816896128,4.758164054337711,2341.126546052664,-3.1628867678565733,53.93521812569602,12.974189302072142,4508.07732330052,8.445832353415966,74.28610193392058,34.50515750511706,18.60610299116912,97.81857524981795,-37.15779306954278,-20878.23010769209,-54.755294001692846,12889.04143487569,20159.071525281997,-4841.802905346733,6.335828476356028,39.689359316726495,1.923088185263925,-2.1550010696305213
2007-09-28,-6.483800519962778,0.6357020336161578,54.6183417922467,1.1848297142503623,0.0107950001848527,68.45470559912016,55.5371066426316,-33.7146805358333,54.27326218705082,33.28027256646328,75.89942932047069,-50.48868963343616,2346.255950892388,-11.361947337576844,31.731845576756054,4.649980027919408,4501.03414005399,-42.82570458405424,22.892450468228304,11.115750777707529,21.96343727884694,74.47064023777061,-74.21878842035926,1495.983253156348,-40.21440504924772,-35363.97319375072,16389.02584706631,52410.78560754936,-7.292971675685521,42.18365298956997,-3.0877065225352265,-3.231176226445766
2007-10-31,0.1982578139393321,0.7636949984355121,41.536279299841866,4.100127318272509,0.1295141061985872,32.36141151314967,-94.96599558649196,-64.5316683821677,-33.61114447655089,39.33784768751981,75.80534762458981,-51.36867264854408,2328.909766646605,-6.023650796306278,7.421397030248765,4.6234088078007245,4485.409342861702,-82.49694849667196,-12.100277923271918,10.403184549308415,14.183081124553595,-11.374093550846908,-22.97057939139165,6043.207916242402,-21.569177977102527,-2597.5104175778106,-222.3070996449096,-2375.203317932785,-2.53726684762006,-13.135637721161856,-6.400053900054914,-6.483800519962778
2007-11-30,-9.33430578935773,1.0261366443970827,41.39176123703392,2.299623600846307,0.04088364290882,-16.953408983035203,-110.19532103780992,15.416559951022766,-64.07409136582635,36.96699852273459,74.59418748614377,10.849242919743247,2212.558774564124,1.5842083083051364,4.922673482116419,12.885908446325626,4419.125659640395,-29.997380070333605,-30.10584819340484,47.8667425119695,12.678249487280876,-11.736790953187551,80.2571044734101,19814.489629011325,41.813399535760254,28524.78834756743,11110.610085037188,17414.17826253036,22.301065872430968,-28.39377584293516,-0.6351821392144803,0.1982578139393321
