date,excess_log_return,log_Mkt-RF,rev1,max,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag3,log_Mkt-RF_lag4,bm,quick,chcapx,grnoa,chcshoq,pchdepr,roeq,tang,sue,size,rev3,mom,chmom,depr,stdacc,stdcf,ol,dy,pchsale_pchinvt,pchsale_pchrect,pchsaleinv,chfeps,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,2.2137221284207707,0.4587303760337341,13.015565379192855,0.0,0.4633533833388796,-18.35522662590689,0.0,0.0,380.722861525544,2384.0574817981087,272.51679046884954,-39.16185773132632,-0.8173937874660758,-1.3378589592008168,7.929153331196131,163.34237869440634,-0.0757161712012115,930.5022071660962,0.0,0.0,0.0,42.18191006717593,0.529055792625786,77.5370320699301,462048.49446120433,2.714634011382036,43.96027823909709,-24.0206760978335,59.60358767824536,-63.97792258479989,3.5818786450337576,0.0
2007-05-31,4.860215105237684,2.3306600784073983,34.637882252296045,0.0,-20.83483298574824,6.303143850854019,0.0,0.0,394.29450186177417,2430.2025042544674,-57.28258832851989,-37.23144458691488,-1.469872327727772,11.953765927662582,9.447904578156871,296.508975191233,0.4733844624870095,4.842332201986778,0.0,0.0,0.0,0.8219986088263909,0.0073832057931435,-15.661682725171069,1714.7837705487618,1.118364371459188,715.8369864992876,314.97186784734254,821.8938817296857,-10.60807250451375,-0.7772015125338632,2.2137221284207707
2007-06-29,4.844790321859575,2.172826858114724,36.98320480291108,0.0,-8.319035339417042,32.12132963437058,-18.555732087361516,0.0,361.6209798482973,2522.779227781533,-545.3859830838408,19.86332868525709,3.030865891183712,10.842234035846516,22.663754530864708,534.3275574468107,0.4736958247277019,5.322117316116987,13.027968299020271,0.0,0.0,10.877391346051574,0.0044544508060648,0.0294679485409332,-4692.484916314541,-1.3831994316346203,-131.68384440148895,17.12822195285395,-135.50484424855017,144.22293951928845,2.027222132184812,4.860215105237684
2007-07-31,-8.712221607072065,-1.357178102892545,71.5081048688533,0.0,-12.298616608843007,30.19245668644708,6.408333039859797,-18.758660073328457,365.6677924560105,2546.042811876535,-551.1082697412846,20.10235627696579,3.068474877965027,10.922881703025933,22.8374448824494,540.3028326402924,0.4749419509171871,10.287257285698727,21.78301874101895,0.0,0.0,0.5603595172695037,0.0033847533049981,0.7138448253238963,4033.174483768875,0.0156286788692954,1.2910376433799229,1.0661524881830928,1.8040438440997375,-1.1539217060662992,-0.1028902865109202,4.844790321859575
2007-08-31,-1.6807430758474742,-2.619949676394888,71.43318002780255,0.0,-8.862390717389717,-18.95727747735016,32.821741963786664,6.47723220181736,337.08291832775774,1800.2559811051449,-144.62663277233196,-20.17529006842881,4.61349979155315,-35.20081964814871,2.0435526053539723,542.5657433915438,-0.712187000882474,10.224176447331615,2.586368984671424,0.0,0.0,-4.01423660273155,-0.0025228191835594,6.508235260388723,39496.42553752457,0.3811029835220223,-640.5612919175796,-327.23992621681293,-743.873533726566,0.5982640303969191,0.0228178057331005,-8.712221607072065
2007-09-28,-2.3875948180302147,0.6247165272886616,-110.89003018357704,0.0,13.262943389507738,-35.77360676565212,29.99438858657437,32.259586476856924,295.4347466688368,1831.382897047058,353.4535907639338,-67.50317824560868,4.909628575473246,-25.58083747898657,7.7329258986531455,539.6394779191406,-0.6132814711084971,-16.46260999921526,33.74379230373249,0.0,0.0,0.2783012782334069,-0.0133089139020915,-1.8201002200368637,-52.01504849520279,0.2565863774694925,76.53880183500017,-9.182337232297822,73.78811206742792,-16.487118157656262,3.809345415234144,-1.6807430758474742
2007-10-31,4.807126187774571,2.163071710287367,-19.78458826194773,0.0,-14.723628619816392,8.582757368232613,-18.57942300908405,29.908807683478177,294.91906274439987,1826.9026295703663,350.04737171519514,-67.00098333615209,4.877141798428429,-24.72717560047201,7.557693965106496,537.8934639042243,-0.6200127289799874,-2.6954909832475096,-2.2424827147260515,0.0,0.0,-0.0710778200526505,0.0033884939416515,-0.20550768160615,-5621.977197559725,0.037675520221923,0.6413303380323896,0.0794401985783217,0.7221964832107801,-0.228385211983543,0.005401754556118,-2.3875948180302147
2007-11-30,-13.300624467444534,1.2207645777848073,-30.211356646715068,0.0,17.94890043763628,29.95066374127642,-35.904461556668984,-18.700741434223414,314.87655393689414,1827.2639528551272,1227.0395068741543,172.43974637456458,215.2504161490782,32.43875777280951,11.312526256643483,519.5987391883003,-0.6161067247372102,6.151126518415026,-179.75800490214368,0.0,0.0,3.1455450211070897,-0.0092422848413112,0.2320798974636631,50899.2790952868,0.3762195142652245,-41.28249955619359,-13.36653616006559,-41.31574318042833,0.2885663342100173,0.0555207875157783,4.807126187774571
