date,excess_log_return,illiq,log_Mkt-RF,baspread,log_Mkt-RF^2,rev1,rev2,log_Mkt-RF_lag1,log_Mkt-RF_lag3,aeavol,bm,cashdebt,chinv,ep,lev,acc,agr,oa,pchsale_pchinvt,rsup,chsaleq,chfeps,sfe,chnanalyst,size,pchquick,stdacc,stdcf,ol,salerec,sue,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,-0.4695864594895709,0.0491004877730185,0.627454544856982,78.1322209897658,0.0042283202495389,-1.0737740398239346,0.0,-28.775468653802086,0.0,37.02696238290319,651.9616237024566,241.50501210266145,-0.2975878668273406,24.51148033716261,6861.986204865306,-54.0996309681345,32.690632314427354,247960566.91647172,316.8001830670276,12.687516142765675,0.5116691737350525,44.03534725598333,21.07120558372941,-817.9178105459762,1458.7472898215296,18.264411359859626,0.0925973990667488,38.74638999381293,240405067.06488976,3226.5039278877407,0.2634190009231384,0.0
2007-05-31,1.1003739710001836,0.0366826009626171,3.175074917885902,65.64165193921984,0.1084205837705936,-21.154255154926005,-1.2359405567038877,9.805771547364778,0.0,397.3095539548344,658.6165433873177,245.7484578472184,-0.2973496660072494,26.58443570261592,6918.933475112858,-18.06755722411914,16.500518092484928,249578236.09873995,316.54660396712626,16.37355071949541,-21.62789282944381,49.180673059770726,21.156891933495743,-1219.3719583323402,-3.636143996121973,-12.328245888161554,0.0044209083782329,1.1387795358215058,1582677.034713209,17.361396161777066,0.0091364965181877,-0.4695864594895709
2007-06-29,-4.271557813084126,0.0445873336118954,2.951809951852435,105.71250821928012,0.0937189413794707,5.030287021468192,-21.024076206512383,49.69603582132841,-28.708224005701567,538.3218832433765,653.2325138498447,85.73804452462122,-0.0035029100758174,25.298683518581036,6839.892425422369,3.324675395364625,11.17386426482875,256411826.51218903,270.61846654782545,15.734393402093682,19.094714195425,76.7638388705175,22.895734659484688,3278.6693390950786,0.2272352012109877,19.470300862373616,0.0008902951732052,0.1433699621122173,3443448.1299640536,1072.234439133238,-0.2644383206773454,1.1003739710001836
2007-07-31,-2.833175370033337,0.0246143865350731,-1.8346949039096905,168.49543712984232,0.0361856150555748,27.78769463206947,5.235041548702768,46.27378990215632,9.821587550463562,536.3404950784355,654.7176441354236,84.99894096552308,-0.0035094461441904,25.36484443870064,6855.40412207587,3.4029900512548608,11.101929735930325,256929423.1605793,271.1234126532217,15.779730033069404,18.681025780266605,65.37674519015258,22.85843086378141,1427.0373310208251,2.1197542508975857,-0.3085269008794533,0.0004168609117278,0.2092614812606115,495138.9074498415,-58.02472284979194,4.746105504298097e-05,-4.271557813084126
2007-08-31,3.443440348389751,0.030756502425386,-3.5135590409327526,135.72868400880654,0.1330481844360289,-61.51855398492422,27.57551753188319,-28.596984044838024,49.511478237506665,1637.658148315293,645.9653886088521,99.45586092655212,0.0,25.05729174556932,6911.037594531102,-20.486496110174404,54.1033315010482,264177660.38184544,-62.382214609047104,23.917514424990337,19.806376492342345,55.26096774662177,22.690753452494977,561.1969467642004,-7.524485851844702,-40.35843030088094,0.0005662605180009,0.3660080550524469,7234712.06570676,64.64741118030088,0.0181106444255486,-2.833175370033337
2007-09-28,6.957588477132589,0.0476525243945397,0.8437649939267342,384.3942322580687,0.0076875547227259,-42.95677202203988,-61.23992787238194,-54.67451020982955,45.841855302910815,1817.1721291541417,642.385802785357,101.6025413759198,0.0,25.77005437721503,6857.821631607847,-25.65827319249896,61.31823749282974,262151482.3016268,-61.90088943854243,24.593046252037865,30.46930571829683,69.90716618134638,23.297915251147685,-663.8905561267719,-6.079902224197895,0.0493606841153138,0.0002807464354574,0.287230106412693,-1945087.6630508304,20.758000571417146,0.0095072341097208,3.443440348389751
2007-10-31,-2.4884063718483045,0.0341568577600695,2.933100643082961,570.8054637443307,0.0926502712455874,58.946074617100095,-43.09650329772178,13.22299522277956,-28.624323297363503,1824.694639484124,645.2503194796358,102.08252855594831,0.0,25.905669187033222,6874.059299556011,-25.78020961739393,61.6347317600524,263028082.23816985,-62.34702522492123,24.51105392131106,30.361656846517555,67.26075542559488,23.36486688838737,-283.1897630650941,7.466065958271429,-0.1364210158494394,0.0007865242803751,0.2921646258136121,765476.5319876969,14.967421957439,0.0002710490150587,6.957588477132589
2007-11-30,-1.7206147843254076,0.0401440666299875,1.659202257914861,119.91956054530796,0.0294979720164355,109.7627017700848,59.29832153687466,46.27078994981416,-55.46881409042878,1156.5574658857342,641.1342258222932,103.04450333389782,0.0,26.02461735146304,7051.942773826237,-47.997265707409326,12.053424162924486,270223732.4278218,37.761161816781645,-21.38959894119634,-42.14986790129181,110.14483180941087,24.055175375855672,-980.5435451561628,13.510045762134496,65.91821805177545,-0.0052261346868862,1.234361541312964,7696900.952541411,186.90627462731936,-0.0215017649986719,-2.4884063718483045
