date,excess_log_return,illiq,log_Mkt-RF,log_Mkt-RF^2,size,rev1,rev2,rev3,rev4,mom1m,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,log_Mkt-RF_lag3,cashpr,chinv,pchquick,stdacc,agr,chcapx,ol,chcshoq,chinvest,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,salecash,sue,turn,baspread,first_lag_excess_return
2007-02-28,0.0439915766480727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,-0.0245051782150021,0.0161851939758843,-0.0197261505502592,0.0003891210155314,0.0,0.0,0.0,0.0,0.0,0.0,0.004877,0.0,0.0,0.0,-1.9872384219554031,-0.0168671030598264,-0.0109193478684299,0.0015156034442588,0.1203015212497442,2.3884197828709293,60.299,0.0097005482918599,0.0186590489850631,0.2554092361349348,-0.1447599065498092,0.5969503020263917,0.3497871524134861,11.659233847913091,0.0124450753235103,9.371512113617376,0.8113014574277574,0.0439915766480727
2007-04-30,0.1770694469382567,0.1652714051482942,0.0067388471152164,4.541206044226105e-05,11.518390504401289,0.0477915766480727,0.0,0.0,0.0,0.0,-0.0053114999999999,-0.0197261505502592,0.0,0.0,-1.9872384219554031,-0.0168671030598264,-0.0109193478684299,0.0015156034442588,0.1203015212497442,2.3884197828709293,60.299,0.0097005482918599,0.0186590489850631,0.2554092361349348,-0.1447599065498092,0.5969503020263917,0.3497871524134861,11.659233847913091,0.0124450753235103,-7.8342055012613985,0.4270007670672823,-0.0245051782150021
2007-05-31,0.3080839104364585,0.043847843193254,0.0341474096122388,0.001166045583226,11.513524885281972,-0.0202051782150021,0.0477915766480727,0.0,0.0,0.0,-0.0119355,0.0067388471152164,-0.0197261505502592,0.0,-1.707370662124762,-0.0183894779455464,0.003340524969531,0.0015126680182814,0.1782513827573959,-0.5808314087759815,74.359,0.0154553049289891,-0.0065339325756339,0.6624965896066609,-0.0633356437120316,-0.777349278810636,1.2664563795537207,12.847455822865658,0.0113931686560738,4.732129833551056,-0.4270007670672823,0.1770694469382567
2007-06-29,0.0841181286188878,0.0144296491845248,0.0317496528936972,0.0010080404588702,11.694995740195614,0.1814694469382567,-0.0202051782150021,0.0477915766480727,0.0,0.5212397558077857,0.0171555,0.0341474096122388,0.0067388471152164,-0.0197261505502592,-1.707370662124762,-0.0183894779455464,0.003340524969531,0.0015126680182814,0.1782513827573959,-0.5808314087759815,74.359,0.0154553049289891,-0.0065339325756339,0.6624965896066609,-0.0633356437120316,-0.777349278810636,1.2664563795537207,12.847455822865658,0.0113931686560738,3.650514191690662,0.6832012273075788,0.3080839104364585
2007-07-31,0.2870093341874566,0.0108480489525549,-0.0197229604652361,0.0003889951695132,12.00577229220513,0.3121839104364585,0.1814694469382567,-0.0202051782150021,0.0477915766480727,0.5615663077786008,0.0243115,0.0317496528936972,0.0341474096122388,0.0067388471152164,-1.707370662124762,-0.0183894779455464,0.003340524969531,0.0015126680182814,0.1782513827573959,-0.5808314087759815,74.359,0.0154553049289891,-0.0065339325756339,0.6624965896066609,-0.0633356437120316,-0.777349278810636,1.2664563795537207,12.847455822865658,0.0113931686560738,0.1820038784744682,-0.2135003835336106,0.0841181286188878
2007-08-31,-0.1279248907618729,0.0021369469496764,-0.0378670695115773,0.0014339149533946,12.122874987062502,0.0881181286188878,0.3121839104364585,0.1814694469382567,-0.0202051782150021,0.8727808201810596,0.0031564999999999,-0.0197229604652361,0.0317496528936972,0.0341474096122388,-1.707370662124762,-0.0183894779455464,0.003340524969531,0.0015126680182814,0.1782513827573959,-0.5808314087759815,74.359,0.0154553049289891,-0.0065339325756339,0.6624965896066609,-0.0633356437120316,-0.777349278810636,1.2664563795537207,12.847455822865658,0.0113931686560738,19.99642710230945,2.9976021664879227e-14,0.2870093341874566
2007-09-28,0.0817380789443174,0.0033294531555872,0.0091110140596724,8.301057719554846e-05,12.413069538342496,0.2910093341874566,0.0881181286188878,0.3121839104364585,0.1814694469382567,0.56758648248093,0.0004609999999999,-0.0378670695115773,-0.0197229604652361,0.0317496528936972,32.85307813733229,-0.0070290501302586,-0.0996517506030595,0.0015020316461445,0.2266169389917225,-0.5957636169455323,95.046,1.0588235294117645,-0.0046840375766904,0.753494643755777,0.0298522915218357,-0.286499770989296,1.3160909749514782,126.00157853196528,0.0039123237382688,-21.061738261738263,-0.7686013807210714,-0.1279248907618729
2007-10-31,0.2238460916848985,0.003625742774015,0.031587825485664,0.0009977907189127,12.28934313829605,-0.1237248907618729,0.2910093341874566,0.0881181286188878,0.3121839104364585,0.3403406509887888,-0.0082829999999999,0.0091110140596724,-0.0378670695115773,-0.0197229604652361,32.85307813733229,-0.0070290501302586,-0.0996517506030595,0.0015020316461445,0.2266169389917225,-0.5957636169455323,95.046,1.0588235294117645,-0.0046840375766904,0.753494643755777,0.0298522915218357,-0.286499770989296,1.3160909749514782,126.00157853196528,0.0039123237382688,-0.2094157726446504,0.4697008437739679,0.0817380789443174
2007-11-30,-0.1421243313307399,0.0040401626189703,0.0177784063851918,0.000316071733597,12.381645480845709,0.0849380789443173,-0.1237248907618729,0.2910093341874566,0.0881181286188878,0.4792686140547996,-0.0035195,0.031587825485664,0.0091110140596724,-0.0378670695115773,10.866100893326328,-0.0065008061770506,0.0084260718210031,0.0014940578311875,0.0931401807470033,3.469237832874197,104.182,0.0073926073926073,-0.0006805815988024,0.8591879213941874,0.0423027434444822,-1.2761106424758049,3.544075443250641,22.949553336836573,0.002810570564282,-2.03881028927439,0.384300690360536,0.2238460916848985
