date,excess_log_return,RF,log_Mkt-RF,log_Mkt-RF^2,rev3,mom1m,max,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag3,log_Mkt-RF_lag4,cashdebt,cfp,chatq,ibq_adj,chinvest,egr,pchgm_pchsale,pchsale_pchrect,pchsale_pchxsga,roavol,roeq,chsaleq,sue,disp,bm,chatoia,lev,sp,ol,noa,dy,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,-3.0212239362938798,44.55559132347451,0.6982635303650162,0.0047054911772611,0.0,0.0,0.0,-4.439388252613291,-26.76366571112066,0.0,0.0,161.28004247043626,66.34946003456976,162.76034151894274,-9.638616556166934,4.047280137053743,299.4649296779836,-2.7264876071942457,94.40914519820288,-74.9127001442232,25.301105127186887,48.31926908282348,22.529246855300887,-0.1958839178573989,172.51865778541475,641.2323686084128,-8.920594170143161,429.44072778461526,359.75630297971577,179611.0407332898,448782.6567788368,10.2668017604321,0.0
2007-05-31,6.43867200519995,45.409149148854894,3.5241018548390746,0.1203389495524384,0.0,0.0,0.0,-30.948329676447027,9.075072668945364,0.0,0.0,180.4292878559522,40.04369316238384,152.55223507274505,1.2046899863462834,0.200647971344162,327.72514158260344,-29.16060197637317,-91.74731403201513,-49.357986398921255,25.11343558266556,51.15305875707697,-1.4738930575706952,-0.1821689478035842,174.8479155113855,0.0556641756281806,-13.235541241659304,-30.65167593465065,-11.97478918060176,-10122.849747014145,19260.97971013788,-1.5883271798842458,-3.0212239362938798
2007-06-29,-2.7369760785469666,42.24040451317621,3.2710199545919645,0.1038537481666463,-29.77256286203832,-60.0075756090376,0.0,12.20286787694264,45.831651745190754,-26.47586076247054,0.0,172.97808078663644,41.43457375533225,16.98781957783182,15.87616161469844,-9.332833957618975,55.86359599642833,6.247641985972714,-218.3874705589275,-5.56493113421956,22.26221650822233,42.60770709163761,-43.12636887078053,0.2278563017267435,322.56400260437493,89.10040591540633,-10.83547832071801,78.90510163070411,34.923189598950614,-18352.90438850369,57559.76569115615,-7.093829916450337,6.43867200519995
2007-07-31,-17.513975633202502,41.42578403430212,-2.0425977518748737,0.0402860747066014,-90.1873592344419,-66.80204324498715,0.0,-11.733283515253564,43.07123681702399,9.14184734381218,-26.760283165399475,174.73707381089264,43.57113654297277,17.3836529676249,16.627828812000196,-9.516738620374868,56.42255598629466,5.893720121775884,-220.4634620845784,-5.185781427513161,22.226788524702418,43.045074410951806,-42.9332758268123,0.2408556880642071,318.49980731569,14.346968982849036,-0.1964784287186987,18.11552230212084,9.35454652041028,1696.7124488975096,6806.850310953218,0.0124661511262558,-2.7369760785469666
2007-08-31,-4.4939024946391415,41.48597336080037,-3.927380592522179,0.1487183938954542,-33.51686938644104,-195.37090404485508,0.0,-10.64762185318516,-26.80539576544593,46.40960623706732,9.158739847631024,140.67095046957638,38.24525719360997,58.49571418721334,-5.038748902682878,-2.7532958565950967,3.0025875832891598,7.529870153666436,-51.444922008623536,-69.8540687469962,22.342683285424112,30.853936635235648,-86.77129534217428,-0.2998302191519923,508.7733598281874,-71.08298588622995,-12.9219881255855,-67.44181227192945,-56.58096388571846,10274.451838071283,-14364.792053827668,1.2291408579978589,-17.513975633202502
2007-09-28,2.1536401444637208,42.994460855363926,0.9326741365267986,0.0084976071709885,91.21604149935366,-197.65346917754312,0.0,17.96748475282626,-50.16641517363439,42.062042012441225,45.23859780562066,117.55151567717,49.081287305582926,119.6148378665168,-13.942520726561408,1.7920624089258053,24.2538883074348,-0.7987191031188086,-14.159130376728376,-49.59831332000505,22.019025944611403,31.144563162089483,-29.97366614193796,-0.4742002123515577,208.68448779346872,17.32446667076681,21.86308075797681,59.39166439212176,11.385039364274064,16670.28622593984,-3010.341453893925,0.7458566184875521,-4.4939024946391415
2007-10-31,-2.859857418607919,32.64021085186218,3.2219790131371835,0.1017753107854427,-37.09109679510037,-259.1526040279547,0.0,5.660777278059095,12.002310152748391,-25.98185965730692,41.82511175775326,117.28977880912448,48.47631815792152,119.32248025961135,-13.573638993319996,1.6986969183431482,23.99528772092674,-0.9673195254237538,-13.34617759885993,-48.44450166871616,21.69307871180916,31.20508258604802,-29.382218241098364,-0.4539710813262096,243.8445649666048,-7.596335555123801,-0.0316545769759777,-6.800151096517595,-3.074721613714246,539.6890666651598,598.5679866193095,0.0358261957332453,2.1536401444637208
2007-11-30,-7.587085860995259,32.69982097746858,1.816720956438925,0.0322984034520626,-210.8253574657228,-242.93035069153188,0.0,43.01727512516392,41.72223838302842,-50.01607032892358,-26.05073459466493,149.19014903198266,23.280254189321244,62.91699189509575,26.959290999298403,1.2792898217222548,45.04103617679096,7.997457903952189,-121.35024101121738,-30.45018671985964,21.24543952211363,45.12362601980372,150.5544760078701,-1.5849967082327598,33.70130352667206,119.51610536881742,69.23353593798556,170.17796744488584,133.91580366158837,-3395.701166104001,20428.65593728144,1.1119921113491995,-2.859857418607919
