date,excess_log_return,illiq,log_Mkt-RF,baspread,log_Mkt-RF^2,coskew,rev3,mom1m,log_Mkt-RF_lag2,log_Mkt-RF_lag3,log_Mkt-RF_lag4,gammaps,bm,chinv,ep,pchquick,sp,invest,currat,egr,operprof,pchdepr,rd_sale,sfe,chnanalyst,beta,idiovol,r_sq,ol,salecash,tang,first_lag_excess_return
2006-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-31,22.9755971196881,0.9067328111173124,14.0839902462457,530.919927500578,0.4809317839133201,0.0,-23.773893136634843,-65.87559898859232,-109.43254013702152,2.034641839006224,1.2679079212252644,0.0,2323.950742574152,30.927600136877462,31.56546475011615,563.366953404429,1714.8161065652916,-1.5584506264940163,14738.569333431327,197.21817363275397,451.8902458369525,686.3527532811621,107.1485846363679,61.37414435625524,-649.6075565834965,0.0,0.0,0.0,3769586.688538576,3324435.536069783,1651.6753796564876,0.0
2007-06-29,11.813509626979393,5.844825190950948,13.143178421262052,655.7041356074752,0.4172913527949786,0.0,-41.96327261542984,649.5730439346951,37.66399795447927,-110.25115739709938,2.00586154633548,0.0,2358.458399210947,31.60746591884924,77.64375095627139,324.3098950478636,1715.012468875543,4.975831454980646,14651.532523120472,195.865572767258,462.5140810065437,564.0932416209521,38.68005097101513,67.903097456425,928.7255943177676,0.0,0.0,0.0,40617.22205505613,242185.8583061546,451.49995634668767,22.9755971196881
2007-07-31,-21.08182693658123,4.704997442484787,-8.45466892135181,926.1996685568388,0.1667511008824537,0.0,62.31117313952849,870.0687975220927,192.53409543085564,37.99579084645992,-111.22239126348848,0.0,2372.8849923035527,21.88634746261061,79.4793457521267,344.316111486857,1731.4803940186373,5.052779245694456,14764.628342896263,211.78947686930283,491.9088899603128,660.2659674251363,20.27448505048467,76.26006102336963,-166.86294569194865,0.0,0.0,0.0,-11020.853455421517,-4890.811329105869,17.90997425798969,11.813509626979393
2007-08-31,-5.533767006356336,18.359126077443506,-16.276824533648956,729.569340519943,0.6163556460434201,0.0,298.33171784694355,581.4293857597761,185.21113388099187,193.5533106193996,38.19692866075089,0.0,2298.717879858474,32.27961486678167,81.74555138980321,211.39743576890052,1672.497847237022,43.92547093815707,15023.570683842569,218.24754296500765,483.127935048566,197.65269664310364,17.14503633848576,84.01888700114777,1177.434090854936,0.0,0.0,0.0,46733.76722961664,-2642008.813051407,25.66026194606502,-21.08182693658123
2007-09-28,5.754942273632178,5.963609086864758,3.902381714027304,703.3636379346672,0.0355546546627113,0.0,359.8294798871688,263.1593632797848,-114.30402153449512,184.0044761267267,192.27982061884188,0.0,2335.6839926150305,23.83438815666321,76.75487539097104,276.2999370637773,1713.207623947671,36.645891711062816,15295.509062228102,258.09544670297686,482.4817440961537,206.62363960258295,36.76063293965333,85.60567860533787,1089.955815201602,0.0,0.0,0.0,-58358.99486039486,-119792.97632044752,25.556855526637264,-5.533767006356336
2007-10-31,-16.667971206792814,3.537615479841313,13.51984752404759,936.6456720024148,0.4270625841823744,0.0,168.5933356089211,0.7974541239806676,-219.2292364468544,-114.18495328621222,183.81280228748207,0.0,2343.4632658775586,29.263727998132765,81.78906421602673,245.66374365394736,1723.4501151285435,41.31889715369591,15321.658669072283,270.03812791065405,484.68141960279,133.9511065147196,42.903196721179896,105.89734001452474,247.38684207773568,0.0,0.0,0.0,6977.096412388142,397.51307759131305,-1.5945937218448307,5.754942273632178
