date,excess_log_return,rev3,rev4,mom,mom1m,indmom,cashdebt,lgr,pchquick,agr,grnoa,chinvest,pchdepr,pchgm_pchsale,roaq,roeq,chsaleq,sfe,idiovol,log_Mkt-RF^2,size,max,log_Mkt-RF_lag1,bm,depr,acc,oa,currat,operprof,saleinv,rd_sale,first_lag_excess_return
2018-06-29,6.234142079813724,-17.98921566286981,354.6191766078718,-420.7478802161646,341.3472193735508,-50.85935712644073,190.75181893836896,68.90618091953155,301.8578492866089,33.31787493740989,43.38218928654284,60863.66227346681,-49.40092775499917,192.47723425527292,26.14999175136072,17.9944004805048,-47.02495279604197,-74.62875611371723,0.3691511179040248,0.2649052350974802,22.208859896320973,10.088198618389356,150.34843666215528,1425.1355289561263,19.86296618389377,62.563279303290194,206112.3860879317,576.9011929707376,-2195.513663898078,10153659.137767673,-19862.240455101724,21.991780299236748
2018-07-31,-5.095101702221349,-29.578273483326377,-14.50745276463257,-244.3655175738974,475.4767133668283,-26.073605423600487,191.19278155827453,68.81385100720142,305.16068474831906,32.65956796776419,43.09001274978615,60330.25498859731,-52.59310737388988,196.0968737738442,25.849000597323148,11.805254780761503,-50.40934861849468,-71.7756693964282,0.477144796058937,-0.2591630082107253,46.478257490894975,52.33852899818362,132.74516168215706,-42.09570740860006,2.690458826223619,-0.5418201434273229,345305.51221321523,82.17731535215898,-0.5273958084160739,-3046434.452332973,38.04643407458207,6.234142079813724
2018-08-31,21.244722088469324,64.76298650124164,-27.808143052638137,-410.1797102882833,493.58087248643193,40.69752565808264,208.5877920707766,18.43873542055229,219.1667982933048,-14.316615972316724,69.65108777704805,66186.96082197508,55.309475656655536,193.5739173034306,32.529917955621144,35.72865017219538,-86.27705241343205,-72.72727674683732,-0.3091214198329908,0.3793035137458492,9.678965147407323,-30.83764012179517,-121.7734850697996,-134.80918353023807,8.9781011789143,-54.30869300898412,369028.8863128349,12.226241815502362,14.158315589991956,20570461.00284076,1615.056173061661,-5.095101702221349
2018-09-28,-3.9518566953580367,334.6673170198047,70.7715243764733,-447.6953905204526,757.1934199949982,119.47802640028684,224.68933599962597,203.42629783090428,-229.13388462736063,233.9355606343557,349.04733707067544,1501.0128313632206,100.1745384348142,82.35539924094077,50.61832071929827,130.6803194593456,123.12294345729632,-153.16360947007337,0.1365417896810044,0.0615553343832191,-7.287267133462592,12.855817703327377,151.72652313076782,102.25880044469255,29.379902547225697,-10.108813402512254,469408.21806745976,-786.125576597602,242.3472008772076,11434432.279795287,109173.95265195084,21.244722088469324
2018-10-31,-38.08614375520358,114.37020149461388,339.49656219207986,61.260240530181065,367.5964564976351,57.331520384750704,227.351236963944,210.62123783339345,-227.73747851366912,236.3303712061841,354.09389735885435,1525.9648112579368,80.96381858006347,73.30541506602009,51.03216422598594,134.36353534784604,110.18099301314288,-152.37839633999965,0.3359850611378334,-0.4497398062277026,42.84909005216559,38.977902875799714,15.246618780761535,60.923326647275445,6.107789823258031,-2.982453003832873,122845.7136272639,135.16067966965784,-0.4706149969398154,5469222.030770779,2546.751575893839,-3.9518566953580367
2018-11-30,38.41200242607732,-9.56988994050469,114.94821469769629,854.0937469603706,-276.3714941235825,122.7178100763196,225.74734368838253,17.585118862127192,-227.879671285906,-26.71881738653492,-52.15162532573719,1575.4694006526515,84.5788047644888,137.5637599205969,46.112535639890346,168.07701713509033,-93.53240935882984,-152.06648874781098,-0.7360336823149183,2.5179258906610653,-7.255426716596048,6.171292826746139,-190.87911132139897,-189.6774256656861,-0.0020679493841271,-114.59766050706962,-157851.63104964793,16.567071637624394,-3.938684339683704,12124399.350628734,2358.7051649726054,-38.08614375520358
2018-12-31,-81.8123187465737,324.92336617817807,-9.01914965941708,952.4529759598564,273.6285466821703,13.070889161850603,251.58413693899703,71.67610902199537,-143.9035310437511,-20.29386562737484,-48.06742413765679,1715.6739602495345,-156.1388356011667,175.72321686502298,51.10844964482245,264.02371251662186,-166.272703164043,-136.93922079392462,-0.7444436946389601,-2.4080416688786173,-73.98197763385997,-19.614835434058136,-455.90219247490165,-989.45065719097,-85.4252919591998,-11.29774267097767,-532886.390451245,-821.7346269178524,26.10947780262785,-3974041.795422554,-2949.1444224706797,38.41200242607732
2019-01-31,44.28912109820149,-65.63476908995109,340.1179868811213,847.3126012040825,-1212.3327826866114,95.9772404360384,254.1621166498508,87.8562746309018,-155.93070687477191,-20.20980914037736,-46.26172917599402,1710.4876243692854,-157.6931877843452,56.9731231947753,50.01875084101553,272.92123014154447,-7.54681547838226,-146.62574930156887,1.4889793956234243,3.8644654451734346,79.49556085466247,121.13584356931074,548.6955013495868,26.959124511464097,7.169968597586319,2.628688525507755,292357.00054664165,196.58737186132203,-5.064062249513938,5934517.276389003,14077.08598761176,-81.8123187465737
2019-02-28,2.540495067776167,-515.7779374647499,-61.86638919504504,1492.646364120934,-466.943075951544,65.8842703832009,251.27860107025936,74.37375520796087,-139.8189181041381,-28.128075275231403,-41.57271055402915,1613.0004065803694,-152.32440573588846,63.20804288675578,48.68442277147111,256.25674075917567,-9.432640565223888,-134.7483172808115,-0.5168978876275929,-1.4404103184596382,-164.0131378497672,-48.70585075709232,-656.084514948474,87.59140870835927,-11.704637088724668,-3.9126741603110986,-1565521.9176739082,-296.92003560057674,-11.789684114158575,-9003100.616723418,-13671.075634674256,44.28912109820149
2019-03-29,-24.037280399366477,554.4243442273302,-526.2124224204345,2172.464618770888,127.9849161890526,30.14969541112888,258.6245147806476,-144.04008804156837,-117.51721288083804,-69.1159132199575,-10.054811967210126,1736.1633482209925,-74.96681886462503,38.398449643099376,40.57216889753998,205.7119637256569,22.40991117638848,-134.74012189494525,0.176265287886018,-2.095999393104774,89.1168400445249,65.68365124440777,1017.4123715103564,96.06956384032333,8.865285119294128,-165.24853933227897,750502.1043145731,205.9895128597327,7.371340154299986,16054414.03632772,4923.21173336776,2.540495067776167
