date,excess_log_return,illiq,log_Mkt-RF,log_Mkt-RF^2,mom,mom1m,rd_mve,chatoia,agr,pctacc,chatq,chinvest,egr,operprof,pchsale_pchinvt,pchsaleinv,chsaleq,sue,sfe,chnanalyst,turn,beta,aeavol,gma,ol,noa,cfpq,saleinv,roavol,rsup,disp,first_lag_excess_return
2011-09-30,-18.24474708413625,0.0920248900185895,-4.286662677158995,0.264755691144889,1044.0638041923469,14.68888573304272,5.420518576536516,33.48818609206481,108.09970972353312,6.74206526547329,108.09970972353317,6.638701808099254,69.03119657667479,136.44360160761826,-138.5068390381425,4.243024508137859,172.50159391532262,-0.0060507289527326,8.245468352260048,-229.60296341268597,-1077.7789353923358,-4.19765723538665,-136.0843276032972,8.786955985579581,4842.419266973389,-22422.114040178945,16.487532751997126,602989.9674253636,-0.235456042401605,22.479417137583937,16.24135558966536,-1.1612864061185584
2011-10-31,-1.6141546068267127,0.0818278560687869,-5.476921136495937,0.4323207046689974,911.8350223175644,-358.7787189991811,6.86115498349856,29.15422282323503,105.65456459390816,29.695959625662383,105.6545645939082,-0.2304837395528709,50.526933956027385,133.92829724245328,-170.4405163119971,-30.377649218931428,146.39075666389937,0.0374125584439266,7.861305866196192,582.8686339816829,2790.2090399069366,1.2276189770423187,-70.8410133734892,1.1263745137848673,-3275.1040295161656,-2585.255190914264,-4.827071808274049,-47016.99027219787,-0.0563897520677816,-1.064684504526323,5.2044209052969,-18.24474708413625
2011-11-30,-14.264480911580424,0.0719278627017332,7.326946823226258,0.787706920990257,1013.962169699418,-312.26640414933706,11.931223049719929,21.201321376862577,49.01308209673825,28.531960668375145,49.01308209673828,1.3092844973378126,33.94597088151591,91.98375078512264,-52.51285359634769,15.795353232040178,129.12997660875718,0.036587921079063,8.157066578745528,-984.8976827162056,1539.3419383402352,24.96654003074192,-91.71041740586088,-16.478674669409088,55258.219578052114,-6381.775028629927,6.373149385181989,-76769.89638171904,-0.7549565666830667,5.583075525801668,19.973102882569503,-1.6141546068267127
2011-12-30,-4.199541790847084,0.0703785747065398,-0.1910313262582368,0.0005356379571039,1245.955907099684,-507.51179169619024,13.7246295448281,-9.251914530713025,28.307741911417345,-11.517848539917042,28.30774191141736,-7.786686040380759,-3.0716622205517936,80.91748310522071,-152.2434522400492,-99.58936446523036,-20.83068666461128,-0.0395844120214236,10.482744535426844,316.99990505667483,-3048.456009128255,-0.9707543394252128,1067.1898287735914,-8.025414706071913,-13990.725026928005,-983.0245800805278,26.963921434395942,145362.83930563275,0.2136223648185371,-7.385893186528051,30.757011291365373,-14.264480911580424
2012-01-31,12.99189502362418,0.0394364106996543,0.4957470567249487,0.0036550212587627,1260.0893614177987,-517.0621662309231,13.119791792904742,-9.19539350484823,27.77640240671296,-11.35131515590181,27.776402406712972,-7.864010100157062,-2.8874887067313217,78.2669214863763,-149.22659229876723,-97.75950790086765,-20.92910534271143,-0.0397740817644748,9.425538923149055,602.5906889570626,-1565.5379687277436,1.810356491613426,-131.6322898247422,-2.035657845853024,-13075.95625112194,-47500.68091879063,-1.1703927390271929,-321129.3229530314,-0.3322765932377685,-0.4763281657277609,15.432535751613784,-4.199541790847084
2012-02-29,-0.559331378870735,0.0537248848168914,3.294174909035409,0.1622916159625535,1211.7931782922449,-71.15998865651378,21.67620139337254,-8.943326744027857,101.63218674770492,-11.22809530542242,101.63218674770488,-11.837795456506234,111.72815934630135,53.50971505892358,-119.2680929054566,-79.83723409349786,-15.263896839224609,-0.0375635726505918,8.00217743283485,1258.7166047682615,3335.7396422194656,-2.3288148521397645,-87.73491147103891,-11.653335782194375,150960.61608403234,-7448.786919743288,9.05293802561495,-69631.30095801037,0.6577892940946679,6.384060754339931,32.06961833503033,12.99189502362418
2012-03-30,-1.521402557077142,0.0885864740856105,2.929388446705908,0.1266991027261319,915.0568581244852,-53.41074751136697,32.34643377724424,-0.357879787829642,152.85650014095788,-1.2230439654508818,152.85650014095785,34.54082331168976,166.08494118918313,46.38731717097857,-33.46195253351907,-0.6181231202684927,-16.887362680336643,-0.039404243842167,5.4096202651264615,487.9510458653698,-2618.619747042537,6.818607085102862,-979.5877971098828,-7.611188509417659,58014.22299754492,-4818.280954302289,26.053336960469323,40731.583968013525,-0.203724533478276,-5.972732083768978,84.81914137778733,-0.559331378870735
2012-04-30,-7.650585510394374,0.0588188808501812,2.0714757001859074,0.0634414157109421,877.5747936623266,144.795042212107,32.30930015863947,-0.4750690491375415,150.80544108183042,-1.43338281648933,150.8054410818304,34.64497329241684,163.71950122582197,46.253596190044725,-33.281202413428495,-0.8329893984803896,-17.491362118787812,-0.0391173441164729,4.88932262597231,-855.1909284471824,-417.6593252087107,-1.4947045825211802,-2.2396459334825067,-0.249671774684586,-3032.2218353833305,10101.88069305569,0.4497412490669745,55687.468390590046,-0.0781805380832612,-0.1200079314305391,-7.013483454387426,-1.521402557077142
2012-05-31,1.325200333655921,0.1723028642054137,-0.5762260104670698,0.0049188559689983,541.5732733872419,74.05841680842964,18.81673629825128,-5.206927975551051,45.3470954257234,-1.3159451760518333,45.34709542572339,35.96106097963082,11.017067750889314,-1.9862523772249832,-39.76559832276549,-7.727516247077652,-35.30417151231207,-0.0394461159515657,5.557468448832942,-465.22598903673656,1583.312654791684,-5.778588733920657,157.03104991194493,-6.936131907515453,107278.50618776552,-6748.198572852183,-19.32702251331725,-40692.95469394745,1.4766761233523304,-12.000426036199292,-42.25684125487732,-7.650585510394374
2012-06-29,-3.003829450597649,0.0289128043049427,-4.28226112949137,0.2736027980020865,403.6481363188389,-147.35329747217105,8.495020395815521,4.3559257649261,65.50303713212189,26.61820028673413,65.50303713212188,0.0091068909441025,14.700874152143902,12.52985428242551,26.73720226508552,22.69009742855231,-20.059625765929013,0.1085736683195605,10.908792028747856,-95.472267694588,-573.4946501294821,-1.2047676599746922,149.76284771530766,8.425696211729893,-27569.86416535953,-775.8949779267423,-66.8096483632562,-1063371.9534742376,-0.1218730419824805,4.849450023472627,46.83757081833454,1.325200333655921
