date,excess_log_return,illiq,RF,log_Mkt-RF,log_Mkt-RF^2,rev1,indmom,log_Mkt-RF_lag1,log_Mkt-RF_lag2,aeavol,grnoa,pctacc,chcshoq,invest,egr,pchgm_pchsale,pchsale_pchinvt,pchsaleinv,roeq,salerec,chfeps,disp,baspread,size,cash,cashdebt,cashpr,oa,pchcurrat,saleinv,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,6.724188425235709,0.092604370471657,80.69950960052282,1.264701529002003,0.008522630250325,-282.9235001904595,-16.34000422574496,-53.86665436423598,0.0,1099.438462273342,464.7949695578799,-6.531784897478984,2.348963879676614,-6.440576767049867,21.98277711171177,278.5397248752444,93.32103671316156,232.29225920092853,22.576006847432115,0.0,-5950.920165433205,3376.443606329512,202.7983549182724,2730.723068699694,215.20903004955213,32.94931824673647,-9371.75892581256,16623991.094530713,-1.5906865641394914,2914.223932311548,-229.5924844764645,0.0
2007-05-31,4.418033380163481,0.1185748087268618,81.7675523521079,6.345795688994564,0.216692484707673,-370.96799671416096,-42.52227535563874,18.05676467026279,-52.85629014077539,1245.9407146088126,516.9083337961883,-7.7904959514473555,14.93620326235954,9.747776996041724,18.17085113716617,133.77800524518148,-393.6294644547722,-326.02400283044955,4.628877252818423,0.0,-3493.3821158722967,2772.435333941202,131.2772028416412,-51.21953322247691,-2.043535391922262,-19.835521228279568,-7919.111354269138,-624648.9660358876,-0.005265149658548,-212.4519317283275,182.7766541243232,6.724188425235709
2007-06-29,-33.23306550031234,0.0907175662808263,76.39726088168325,5.916064670787013,0.1878329997941424,119.80041836216488,-17.19957924101652,92.02594565557014,18.160931837823277,1042.902303446157,484.73941128763454,-7.485787514399618,21.0072368378448,14.983885398822093,41.18787176174176,17.103144861382873,-782.5254178058299,-801.2695846690008,29.041981935947813,0.0,44.89501053271657,4095.326325802252,296.66605837501515,15.457713430725107,2.1733687160987927,10.07996391368471,-134.14341228259218,104202.90152876264,1.0024196656522288,58.24248865034269,-70.18418389489116,4.418033380163481
2007-07-31,-36.18861948383128,0.0790308278352251,74.618315378739,-3.679235210493471,0.0725654105988549,88.95470071151493,-22.704484755714613,85.82769636099624,92.30946598145654,892.5280729021993,472.2733877333904,-7.968042565748856,18.20546140024941,14.998219552058826,15.290976753747442,130.4713611168382,-391.1245753280373,-401.0356479112596,0.4220608795701437,0.0,1589.477628043395,4489.626455282841,64.65532752017737,8.302835532942026,1.937463286459547,-21.152422873314997,-1173.8912317117065,-35530.851035689935,-0.0220047833325504,94.60231793515776,-24.541159867470384,-33.23306550031234
2007-08-31,-16.07609812559181,0.1055621946348719,73.75177337267809,-6.981908822263243,0.264384426696132,-456.2369083684084,-49.192034284749234,-52.081804604319366,83.84031500641686,2287.8658657398937,-52.802833365341705,-4.905335514511565,5.900955483560358,4.384679471485526,-70.41233790516239,359.6799205229063,96.63295362745062,107.28990655271885,-65.88364875797974,0.0,398.8187741873538,2351.271331384912,-105.17534502240903,-62.59537265599238,-9.736127174769765,-59.21151314903992,-10796.206650312906,-701800.781980278,-0.0097653476289831,49.01991746591148,-76.62324446612939,-36.18861948383128
2007-09-28,-31.032689715677243,0.2239318682434948,76.32992316698098,1.6558166741620897,0.0150861689985308,-466.5506837008217,74.00247984936416,-97.2889094447779,-50.67266465123838,2755.832361674888,-263.9949268207158,-8.857086472717636,7.476825159066708,0.4956826551196132,-66.81330157104627,387.9640918561063,401.74163179812416,466.91682924214695,-64.55989290655687,0.0,-4386.833257482002,1989.4914563299485,-258.38387525466953,-71.44667533886468,12.678296104406796,0.1908873599934963,728.5344277740332,-437913.31317045726,2.471016601691044,1004.4664801512558,-290.4396240099165,-16.07609812559181
2007-10-31,13.505523443563,0.1553134582258962,57.818559587043175,5.707383031462453,0.1802838191776642,-213.3077642478342,-30.84573285402154,23.12519759824452,-96.11262359891168,2353.417957358937,-257.87363094148265,-4.649746618853439,5.9059568613041495,-6.799148896314723,-89.03327628202946,400.11594157249993,402.3848180441874,468.5379549036726,-106.5709986213714,0.0,29.214046541604567,1818.477762944144,154.12415181821785,-31.063556304682606,8.004032807601249,-36.75430869325912,-1196.2137031081984,-939407.1721938998,-0.0186935445164404,-35.75852450614593,59.704271676039525,-31.032689715677243
2007-11-30,-42.29816122997998,0.194539250123811,57.12922539523796,3.17395807983675,0.0564279165928956,-403.3348005250929,-73.41367771045465,78.33502046431681,22.594511076396515,2026.168160151212,-299.69914718649306,-4.872797134154703,-10.663942291281934,-3.6047244090574,-143.25520977079606,243.3188896722632,401.7813125274382,476.63009319601247,-117.33697843262536,0.0,-5250.0435358975055,3332.1526971139783,302.12534364354275,-58.24670210936847,-15.506565388915249,-11.794902425977682,-279.0548898948,-610313.1809358858,-0.0030550332629608,-3.5247312768233314,-362.3076953399224,13.505523443563
