date,excess_log_return,size,rev1,rev4,mom1m,indmom,log_Mkt-RF_lag2,log_Mkt-RF_lag4,bm,lev,lgr,pchquick,agr,grnoa,pctacc,chtx,pchsale_pchrect,pchsale_pchxsga,roeq,tang,O-score,idiovol,cash,stdcf,cfp,oa,ol,noa,pchgm_pchsale,sfe,disp,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,3.936410598804616,1117.1792664535728,-16.950702900073885,0.0,0.0,1.2921429983810202,0.0,0.0,264.32529915259084,426.5441138507568,-70.32310667369417,78.31116126838664,-20.26660506672598,-44.209023186812686,-6.691670529151797,834.9033564828076,-25.000429881920653,2.163843414830368,65.33574592054856,0.0,-4599.440769801828,0.0,238.35172669251136,16.816743878930456,84.74043168844179,1696888.1878096173,688528.5492237887,1008359.6385858282,2.278084930151829,10.245850405407444,45.88643883787906,0.0
2007-05-31,3.274442321637705,1111.3389113228702,-42.5800228221685,0.0,0.0,-13.525603917151592,-21.922438677116094,0.0,239.5625713976001,393.9426399523701,-21.8805391476045,15.561803359407287,2.497821704282652,78.03579945962208,-0.50475938569701,722.3046244624356,-34.81562241859756,-62.09950361624811,61.35853380275702,67.32996929516867,-4487.805690170941,0.0,-17.970306573478837,-0.6640611517007216,-66.56431436885575,-34218.76315671764,-19185.719619083568,-15033.043537633494,-35.468636444974926,0.1665703434935075,-2.043778378018331,3.936410598804616
2007-06-29,-2.887276607615756,1119.874235312015,65.09268358842378,0.0,56.893490992677926,17.190792993591923,7.546661260037542,0.0,241.5917309479337,395.4103513902756,-17.29975865270121,15.954140995381188,2.945618829774561,48.50070347863904,-0.0287837668700052,155.70372392784498,-44.81007583912254,-144.59461054378417,60.31788287965245,258.7369359823551,-4523.670279471134,0.0,9.658955083916029,0.0927894780663152,-6.443437313932558,-3032.683096597204,282.9644192880951,-3315.647515885532,-4.417556326926196,1.222667891343859,-9.617336153841356,3.274442321637705
2007-07-31,-1.9560263631048225,1125.5273524846605,52.701332865334656,-17.17224832023456,34.699731689265434,-13.876192280649898,38.43384353507238,-22.202322003547064,242.80316284876335,396.7790382672079,-17.42249018262506,16.030987263422652,2.9206749278557957,48.97551688842147,-0.0294007072983484,155.9494177990494,-44.92372798034832,-145.15897018700014,60.60119048037591,260.00844239782526,-4549.007505050959,0.0,1.1718687037631526,0.08050360784285,0.0645440540973503,5357.158666165778,1954.639152137679,3402.519514027983,-0.059403785116892,0.0049049987533429,6.127584661272849,-2.887276607615756
2007-08-31,-0.8081988808804401,1119.9809272972932,-39.372976183942335,-43.19789647330879,53.67039795025862,-8.993665772179682,35.55900568925018,7.547380241014752,228.32692058527425,366.6597957156229,-0.0906870784498146,21.11335246095736,-3.678505082886935,36.38860126205021,-1.890433821360205,237.46268122938145,63.7060820021113,67.11167572802142,66.47387575481586,264.17024774811443,-4593.231905318855,0.0,-40.81532071323443,-0.8560033605434967,14.04307242070944,35336.78088021907,13185.657225470408,22151.12365474889,87.61805120736862,0.663930084088765,-6.628173904854911,-1.9560263631048225
2007-09-28,-1.3960578448853649,1116.009037824248,-23.4159226204239,64.17714285922071,-17.820239520862252,24.37786333495692,-22.011002131853825,38.108817745545096,227.28522471136205,364.9979339440752,37.242313246098256,-0.9891144476057204,8.469069596926483,58.2382637721398,-2.033078458759419,263.3487287067646,74.7657496206401,160.43783429236686,67.28094341985732,262.9950028467193,-4598.072967065793,0.0,-4.44941824753181,-0.1200812884629431,2.394967395696586,12819.9407204187,18502.61206751945,-5682.671347101103,4.563265497648303,1.358813085165556,-6.87919469241049,-0.8081988808804401
2007-10-31,-2.206735061263366,1115.0725158748232,-7.392150224294538,52.35529399811721,-80.51451327059388,-7.341943781536316,-42.22452846908131,35.403165330327305,226.7961303690481,363.3918939252636,37.26938026017998,-1.0021867229168588,8.44539992802542,58.33357775110494,-2.035558322613888,262.58632076331554,74.48988041124694,160.05854682650585,67.26212468881339,262.53544980973146,-4599.943895906449,0.0,-0.033406924945325,-0.0434238448135051,-0.0530522051109407,-5036.012259930838,-1561.2686462503625,-3474.743613680359,-0.2799723077710325,-0.0824022853323676,4.534117060817781,-1.3960578448853649
2007-11-30,-2.089553027619503,1111.8731982837369,-9.012585649799409,-39.21527449965138,-68.26633573056446,29.04611616427788,10.130292342136045,-21.92943113210576,258.52262303110587,445.5629901365559,108.09017088101888,-19.43796780725141,50.10770811467975,53.898556299194176,-3.75896456484257,67.30844043344591,-10.51287777011096,40.34385733228262,72.7600545109634,263.2302638843815,-4500.319142165594,0.0,-12.567988108907798,0.7440492260704694,17.462435223879083,60627.752440378536,16048.563800585573,44579.18863979331,-50.5545209171803,-0.4539532423114867,1.2335511897714326,-2.206735061263366
