date,excess_log_return,log_Mkt-RF,baspread,rev3,rev4,log_Mkt-RF_lag2,log_Mkt-RF_lag3,aeavol,depr,lgr,pchquick,acc,cfp,agr,chatq,operprof,pchcurrat,pchsale_pchxsga,salecash,sue,illiq,coskew,size,mom1m,r_sq,bm,stdacc,stdcf,chcapx,roavol,sfe,first_lag_excess_return
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,2.369776772731312,0.3950914833586625,33.29770223653619,0.0,0.0,0.0,0.0,381.0965164146624,17.173867362275086,21.47713418576689,3.632832823055331,-70.60745381572687,89.50544828611702,24.851571818002416,24.85157181800246,65.67146250180288,1.5392507328844207,-79.36450915737458,22085.254943485048,0.3646272039084323,0.0268280893862183,0.0,859.4435232567671,0.0,0.0,474.4387239229537,0.1131362655571053,56.76067305628368,1651.2557001830482,7.082230831848266,153.52310921456245,0.0
2007-05-31,0.8827596876460579,2.005908469085171,595.2521677578769,0.0,0.0,-17.02101684226108,0.0,520.4041670915409,16.80230998031725,30.91138151050905,-45.46058377417472,-35.849057987852234,44.61908740835522,29.37732477213975,29.37732477213975,57.949225306920994,-33.1388088537737,-16.320354756647646,22613.002256104606,0.1658189632264362,-0.0079831602798021,0.0,3.422082422057315,0.0,0.0,-26.987699320024603,0.003051680942654,-8.927114021973516,-1865.354274725644,-0.7922460426479683,3.8197559291128016,2.369776772731312
2007-06-29,0.305553565767962,1.8702957697402032,108.61826680331552,-0.5984305650467814,0.0,5.847491455437503,-17.116948169198874,525.2757594858232,13.903455544433616,31.187665529835336,-45.22835345875817,-36.17256118277455,44.954706627436224,29.65750046191758,29.65750046191757,58.3328138331713,-32.83349485807908,-16.316695408711432,22849.29874756338,0.1681378395769515,0.0024420942176151,0.0,4.863154962412864,81.45918503622946,0.0,2.036925205391072,0.000889504670585,0.1838287968337368,-0.2164679312977568,0.0292925778620096,38.33736336845232,0.8827596876460579
2007-07-31,-0.6006289735911121,-1.162869493053908,94.75444754315484,26.072928301860056,-0.5019477559572234,29.68361418541079,5.857935934058611,527.2971285198305,13.938939288292165,31.35841185429092,-45.06212176507776,-36.27931599171141,45.05927076441376,29.804211933143414,29.80421193314341,58.51104654078125,-32.68250925011588,-16.28486468208128,23020.63998631204,0.1689192767426419,-0.0037080919093391,0.0,1.5498910188248374,9.446031325743078,0.0,0.438475756216917,0.0004132304941548,0.0173045351250991,0.0429718771816851,0.0055382232804621,0.4954591255610978,0.305553565767962
2007-08-31,-2.2515213804077288,-2.234905643110467,268.6907321528384,39.51671139166362,26.45744007519046,27.65794160222842,29.74668932869378,748.9171472230477,13.484468854590672,34.373233477772565,1.5690561866257853,-18.256789348377577,35.20749173805519,22.87548372151949,22.87548372151949,61.17799355847244,17.704917609507326,25.544658971518444,4660.938156343097,0.0071980707330915,-0.001148451968184,0.0,1.8471428433149413,-31.483553500635185,0.0,-14.649649377592198,0.0010460521862977,-4.4541979031291845,-191.83052926515236,-0.5286485940654009,3.92778755808888,-0.6006289735911121
2007-09-28,1.9202273696869916,0.5372814433529342,124.0463473154928,17.078561822273677,39.64724111829338,-17.151987004687797,27.610947899830094,749.5371200894639,13.448025956162754,34.246260529113975,2.201739756464816,-18.22927886864457,35.06720735599299,22.83684456693207,22.83684456693208,61.141123586732334,18.368695655633065,25.58615712572598,4679.806276849375,0.0069969674103666,0.0186573856230021,0.0,-1.480132792495965,-68.97883945097644,0.0,-1.4501913710620329,3.517813916076307e-05,-0.2540183251651839,0.3665514225455695,-0.025985704603233,37.54557617980447,-2.2515213804077288
2007-10-31,-1.689883226147292,1.857393803483362,135.02610427108417,8.483822711865557,16.905809483530113,-32.740485756352875,-17.052793218861265,745.0418576511795,13.372642339360748,34.013921213834344,2.4101148888363384,-18.137898347514373,34.907056285188105,22.7138626496001,22.7138626496001,60.77487772397301,18.482792679283147,25.530058081180105,4650.747314982637,0.0072653740198152,-0.0100756234307826,0.0,-5.029355811029063,13.247854860484036,0.0,-2.2505793179221314,-0.0007691103105743,-0.2606940451571446,2.328863687545549,-0.0355628123395099,-2.1839653757248527,1.9202273696869916
2007-11-30,-1.4634300606399604,1.0479133624693555,138.83373951560674,-5.465665424304417,8.250474204998977,7.914952269988913,-32.89601418958445,530.7622980951763,13.265022852678047,5.624322857906283,-115.80038764906558,-46.278004831888495,61.91862891332106,14.691036749343631,14.691036749343606,64.07640391133113,-131.75145718283562,-2.9461567033230223,20104.30981915483,0.0648470036050434,0.0017058469829131,0.0,4.107221267387104,-30.46887586548354,0.0,26.26484934264312,-0.0025205965194093,-5.068712781537798,1886.7959477964064,-0.6075755083197922,-19.839915797364284,-1.689883226147292
