date,return_forecast,rol_var_pred,observe_return,rolling_var,rol_avg,ewm
1/31/2020,0.228656113,125.7102338,-42.45887045,114.0582279,0.076640322,3.340308809
2/28/2020,0.140149683,339.4208395,-54.8622793,112.6222182,0.231630323,-29.37339066
3/31/2020,0.109831542,897.8420579,35.14622714,124.5445956,-0.437246078,-47.57973969
4/30/2020,0.175607726,986.5823222,-20.74015664,153.7568029,-0.942311746,11.51023662
5/29/2020,0.071329266,847.5872941,0,166.1520061,-0.514662636,-11.52575857
6/30/2020,0.03666468,710.2141564,0,163.5097723,-0.97232865,-3.293073877
7/31/2020,0.054375809,598.9223186,0,162.7766007,-1.048444293,-0.940878251
8/31/2020,0.076612242,520.9892422,0,159.9689668,-1.205114887,-0.268822357
9/30/2020,0.045959979,458.6665631,0,159.9327595,-1.170803245,-0.076806388
10/30/2020,0.031396065,365.2111674,0,157.5018174,-1.003637644,-0.021944682
11/30/2020,0.084501736,268.7968719,0,157.3697993,-1.031195364,-0.006269909
